True,Predicted,True_Label,Pred_Label
8,26,Complaint,Love
42,36,Shame,Respect
34,39,Philosophy,Sadness
11,37,Courage,Responsibility
25,28,Longing,Melancholy
39,26,Sadness,Love
33,39,Patriotism,Sadness
25,28,Longing,Melancholy
39,26,Sadness,Love
39,33,Sadness,Patriotism
17,10,Gratitude,Contentment
26,35,Love,Pride
12,28,Despair,Melancholy
39,31,Sadness,Nature
25,28,Longing,Melancholy
39,31,Sadness,Nature
39,31,Sadness,Nature
28,25,Melancholy,Longing
33,39,Patriotism,Sadness
21,37,Humility,Responsibility
34,29,Philosophy,Mixed
25,28,Longing,Melancholy
4,17,Caution,Gratitude
25,22,Longing,Integrity
0,39,Anger,Sadness
7,37,Compassion,Responsibility
12,25,Despair,Longing
18,31,Happiness,Nature
31,15,Nature,Fear
34,39,Philosophy,Sadness
39,31,Sadness,Nature
28,25,Melancholy,Longing
39,34,Sadness,Philosophy
5,19,Clarity,Honesty
39,26,Sadness,Love
34,18,Philosophy,Happiness
31,29,Nature,Mixed
18,39,Happiness,Sadness
37,15,Responsibility,Fear
42,14,Shame,Duty
18,39,Happiness,Sadness
25,28,Longing,Melancholy
12,25,Despair,Longing
17,19,Gratitude,Honesty
39,31,Sadness,Nature
29,18,Mixed,Happiness
39,18,Sadness,Happiness
25,28,Longing,Melancholy
4,36,Caution,Respect
31,33,Nature,Patriotism
28,25,Melancholy,Longing
37,7,Responsibility,Compassion
0,39,Anger,Sadness
25,23,Longing,Joy
39,0,Sadness,Anger
25,28,Longing,Melancholy
25,28,Longing,Melancholy
26,0,Love,Anger
31,26,Nature,Love
25,28,Longing,Melancholy
26,29,Love,Mixed
45,26,Wisdom,Love
2,22,Calmness,Integrity
28,25,Melancholy,Longing
39,15,Sadness,Fear
15,39,Fear,Sadness
7,4,Compassion,Caution
25,28,Longing,Melancholy
19,4,Honesty,Caution
18,39,Happiness,Sadness
19,36,Honesty,Respect
35,11,Pride,Courage
43,19,Skill,Honesty
28,25,Melancholy,Longing
25,28,Longing,Melancholy
34,39,Philosophy,Sadness
0,26,Anger,Love
0,39,Anger,Sadness
26,18,Love,Happiness
34,29,Philosophy,Mixed
39,26,Sadness,Love
29,34,Mixed,Philosophy
45,10,Wisdom,Contentment
34,39,Philosophy,Sadness
15,18,Fear,Happiness
26,25,Love,Longing
36,37,Respect,Responsibility
41,23,Self-Control,Joy
39,34,Sadness,Philosophy
26,42,Love,Shame
13,39,Devotion,Sadness
25,35,Longing,Pride
25,28,Longing,Melancholy
26,33,Love,Patriotism
34,39,Philosophy,Sadness
29,18,Mixed,Happiness
39,26,Sadness,Love
29,39,Mixed,Sadness
25,28,Longing,Melancholy
19,4,Honesty,Caution
25,11,Longing,Courage
22,9,Integrity,Confidence
15,39,Fear,Sadness
21,36,Humility,Respect
39,34,Sadness,Philosophy
25,28,Longing,Melancholy
14,45,Duty,Wisdom
10,9,Contentment,Confidence
37,9,Responsibility,Confidence
39,31,Sadness,Nature
25,28,Longing,Melancholy
20,37,Hospitality,Responsibility
5,37,Clarity,Responsibility
37,3,Responsibility,Care
37,42,Responsibility,Shame
31,34,Nature,Philosophy
25,21,Longing,Humility
39,29,Sadness,Mixed
24,4,Kindness,Caution
22,36,Integrity,Respect
26,29,Love,Mixed
39,26,Sadness,Love
26,8,Love,Complaint
4,43,Caution,Skill
35,45,Pride,Wisdom
39,34,Sadness,Philosophy
37,19,Responsibility,Honesty
15,39,Fear,Sadness
13,25,Devotion,Longing
4,42,Caution,Shame
34,39,Philosophy,Sadness
34,33,Philosophy,Patriotism
33,0,Patriotism,Anger
44,45,Sorrow,Wisdom
39,34,Sadness,Philosophy
23,26,Joy,Love
28,25,Melancholy,Longing
28,25,Melancholy,Longing
25,28,Longing,Melancholy
35,4,Pride,Caution
30,1,Modesty,Betrayal
31,33,Nature,Patriotism
45,4,Wisdom,Caution
25,28,Longing,Melancholy
15,18,Fear,Happiness
35,7,Pride,Compassion
18,39,Happiness,Sadness
39,34,Sadness,Philosophy
28,25,Melancholy,Longing
39,34,Sadness,Philosophy
36,38,Respect,Reverence
18,39,Happiness,Sadness
18,29,Happiness,Mixed
15,39,Fear,Sadness
17,9,Gratitude,Confidence
26,31,Love,Nature
25,28,Longing,Melancholy
18,15,Happiness,Fear
0,39,Anger,Sadness
42,37,Shame,Responsibility
9,23,Confidence,Joy
37,17,Responsibility,Gratitude
39,26,Sadness,Love
25,28,Longing,Melancholy
28,25,Melancholy,Longing
43,42,Skill,Shame
29,39,Mixed,Sadness
25,23,Longing,Joy
13,39,Devotion,Sadness
26,4,Love,Caution
29,39,Mixed,Sadness
13,39,Devotion,Sadness
25,28,Longing,Melancholy
28,25,Melancholy,Longing
25,28,Longing,Melancholy
13,39,Devotion,Sadness
25,45,Longing,Wisdom
37,4,Responsibility,Caution
25,28,Longing,Melancholy
25,23,Longing,Joy
33,31,Patriotism,Nature
42,41,Shame,Self-Control
36,16,Respect,Generosity
28,25,Melancholy,Longing
2,41,Calmness,Self-Control
32,4,Patience,Caution
39,33,Sadness,Patriotism
39,34,Sadness,Philosophy
25,21,Longing,Humility
15,37,Fear,Responsibility
26,4,Love,Caution
41,10,Self-Control,Contentment
41,37,Self-Control,Responsibility
39,34,Sadness,Philosophy
31,39,Nature,Sadness
45,42,Wisdom,Shame
39,33,Sadness,Patriotism
26,42,Love,Shame
39,18,Sadness,Happiness
15,34,Fear,Philosophy
10,4,Contentment,Caution
18,31,Happiness,Nature
28,25,Melancholy,Longing
0,13,Anger,Devotion
26,33,Love,Patriotism
31,39,Nature,Sadness
26,34,Love,Philosophy
39,15,Sadness,Fear
25,28,Longing,Melancholy
26,29,Love,Mixed
15,34,Fear,Philosophy
35,40,Pride,Security
19,17,Honesty,Gratitude
42,20,Shame,Hospitality
25,20,Longing,Hospitality
7,36,Compassion,Respect
33,18,Patriotism,Happiness
4,22,Caution,Integrity
38,25,Reverence,Longing
25,45,Longing,Wisdom
33,29,Patriotism,Mixed
28,25,Melancholy,Longing
29,18,Mixed,Happiness
30,42,Modesty,Shame
34,0,Philosophy,Anger
34,39,Philosophy,Sadness
33,15,Patriotism,Fear
25,28,Longing,Melancholy
26,32,Love,Patience
3,7,Care,Compassion
42,30,Shame,Modesty
25,28,Longing,Melancholy
39,31,Sadness,Nature
39,31,Sadness,Nature
0,21,Anger,Humility
26,4,Love,Caution
4,36,Caution,Respect
36,9,Respect,Confidence
33,15,Patriotism,Fear
39,34,Sadness,Philosophy
0,29,Anger,Mixed
9,35,Confidence,Pride
15,45,Fear,Wisdom
31,33,Nature,Patriotism
33,39,Patriotism,Sadness
15,30,Fear,Modesty
28,25,Melancholy,Longing
3,37,Care,Responsibility
28,25,Melancholy,Longing
25,28,Longing,Melancholy
29,39,Mixed,Sadness
4,11,Caution,Courage
28,25,Melancholy,Longing
25,9,Longing,Confidence
24,4,Kindness,Caution
25,28,Longing,Melancholy
25,28,Longing,Melancholy
28,25,Melancholy,Longing
24,23,Kindness,Joy
34,26,Philosophy,Love
39,33,Sadness,Patriotism
9,37,Confidence,Responsibility
33,29,Patriotism,Mixed
29,34,Mixed,Philosophy
29,18,Mixed,Happiness
42,4,Shame,Caution
28,25,Melancholy,Longing
25,45,Longing,Wisdom
27,41,Loyalty,Self-Control
4,17,Caution,Gratitude
42,9,Shame,Confidence
36,14,Respect,Duty
25,28,Longing,Melancholy
26,18,Love,Happiness
31,39,Nature,Sadness
12,25,Despair,Longing
39,31,Sadness,Nature
45,37,Wisdom,Responsibility
4,45,Caution,Wisdom
25,28,Longing,Melancholy
7,4,Compassion,Caution
28,25,Melancholy,Longing
25,28,Longing,Melancholy
28,25,Melancholy,Longing
29,39,Mixed,Sadness
26,9,Love,Confidence
39,13,Sadness,Devotion
31,39,Nature,Sadness
34,39,Philosophy,Sadness
30,42,Modesty,Shame
25,42,Longing,Shame
34,39,Philosophy,Sadness
39,26,Sadness,Love
18,31,Happiness,Nature
33,15,Patriotism,Fear
12,28,Despair,Melancholy
18,39,Happiness,Sadness
28,25,Melancholy,Longing
25,35,Longing,Pride
36,2,Respect,Calmness
42,9,Shame,Confidence
35,8,Pride,Complaint
26,7,Love,Compassion
28,25,Melancholy,Longing
17,36,Gratitude,Respect
34,13,Philosophy,Devotion
45,38,Wisdom,Reverence
25,28,Longing,Melancholy
9,35,Confidence,Pride
25,28,Longing,Melancholy
39,29,Sadness,Mixed
25,28,Longing,Melancholy
34,29,Philosophy,Mixed
11,19,Courage,Honesty
42,10,Shame,Contentment
15,31,Fear,Nature
0,39,Anger,Sadness
26,39,Love,Sadness
36,11,Respect,Courage
25,44,Longing,Sorrow
15,14,Fear,Duty
34,33,Philosophy,Patriotism
15,0,Fear,Anger
25,14,Longing,Duty
34,18,Philosophy,Happiness
4,10,Caution,Contentment
13,26,Devotion,Love
26,39,Love,Sadness
13,0,Devotion,Anger
26,34,Love,Philosophy
4,7,Caution,Compassion
0,15,Anger,Fear
4,17,Caution,Gratitude
39,26,Sadness,Love
18,39,Happiness,Sadness
17,44,Gratitude,Sorrow
31,39,Nature,Sadness
25,28,Longing,Melancholy
31,39,Nature,Sadness
29,39,Mixed,Sadness
31,0,Nature,Anger
39,34,Sadness,Philosophy
15,39,Fear,Sadness
35,45,Pride,Wisdom
39,31,Sadness,Nature
18,39,Happiness,Sadness
18,33,Happiness,Patriotism
12,25,Despair,Longing
26,39,Love,Sadness
39,33,Sadness,Patriotism
18,34,Happiness,Philosophy
0,18,Anger,Happiness
12,25,Despair,Longing
41,4,Self-Control,Caution
33,39,Patriotism,Sadness
26,17,Love,Gratitude
34,31,Philosophy,Nature
39,33,Sadness,Patriotism
25,28,Longing,Melancholy
39,0,Sadness,Anger
4,19,Caution,Honesty
40,5,Security,Clarity
26,39,Love,Sadness
45,37,Wisdom,Responsibility
39,34,Sadness,Philosophy
34,39,Philosophy,Sadness
12,28,Despair,Melancholy
45,37,Wisdom,Responsibility
26,33,Love,Patriotism
31,39,Nature,Sadness
36,17,Respect,Gratitude
36,4,Respect,Caution
9,11,Confidence,Courage
33,26,Patriotism,Love
29,39,Mixed,Sadness
15,31,Fear,Nature
15,39,Fear,Sadness
28,25,Melancholy,Longing
18,29,Happiness,Mixed
35,4,Pride,Caution
25,28,Longing,Melancholy
4,24,Caution,Kindness
15,37,Fear,Responsibility
0,39,Anger,Sadness
29,33,Mixed,Patriotism
34,33,Philosophy,Patriotism
11,37,Courage,Responsibility
33,34,Patriotism,Philosophy
26,19,Love,Honesty
13,28,Devotion,Melancholy
26,18,Love,Happiness
18,31,Happiness,Nature
9,37,Confidence,Responsibility
18,39,Happiness,Sadness
33,39,Patriotism,Sadness
26,33,Love,Patriotism
25,28,Longing,Melancholy
37,45,Responsibility,Wisdom
39,31,Sadness,Nature
25,28,Longing,Melancholy
18,39,Happiness,Sadness
28,25,Melancholy,Longing
39,13,Sadness,Devotion
28,25,Melancholy,Longing
35,42,Pride,Shame
4,24,Caution,Kindness
28,25,Melancholy,Longing
33,39,Patriotism,Sadness
25,42,Longing,Shame
16,22,Generosity,Integrity
26,36,Love,Respect
25,28,Longing,Melancholy
36,42,Respect,Shame
12,28,Despair,Melancholy
25,28,Longing,Melancholy
32,17,Patience,Gratitude
31,33,Nature,Patriotism
10,16,Contentment,Generosity
23,17,Joy,Gratitude
26,31,Love,Nature
39,34,Sadness,Philosophy
25,28,Longing,Melancholy
10,38,Contentment,Reverence
30,16,Modesty,Generosity
26,37,Love,Responsibility
39,31,Sadness,Nature
4,42,Caution,Shame
28,25,Melancholy,Longing
37,4,Responsibility,Caution
15,39,Fear,Sadness
45,37,Wisdom,Responsibility
40,45,Security,Wisdom
25,28,Longing,Melancholy
21,26,Humility,Love
0,39,Anger,Sadness
15,39,Fear,Sadness
14,45,Duty,Wisdom
33,39,Patriotism,Sadness
36,4,Respect,Caution
26,37,Love,Responsibility
18,26,Happiness,Love
34,39,Philosophy,Sadness
15,39,Fear,Sadness
34,39,Philosophy,Sadness
16,7,Generosity,Compassion
39,34,Sadness,Philosophy
15,24,Fear,Kindness
0,39,Anger,Sadness
24,23,Kindness,Joy
12,25,Despair,Longing
9,4,Confidence,Caution
25,28,Longing,Melancholy
38,9,Reverence,Confidence
26,18,Love,Happiness
45,4,Wisdom,Caution
20,37,Hospitality,Responsibility
18,39,Happiness,Sadness
0,36,Anger,Respect
18,39,Happiness,Sadness
42,36,Shame,Respect
26,36,Love,Respect
26,39,Love,Sadness
33,39,Patriotism,Sadness
29,34,Mixed,Philosophy
18,39,Happiness,Sadness
22,37,Integrity,Responsibility
28,25,Melancholy,Longing
28,25,Melancholy,Longing
4,7,Caution,Compassion
28,25,Melancholy,Longing
26,39,Love,Sadness
18,33,Happiness,Patriotism
28,25,Melancholy,Longing
11,37,Courage,Responsibility
39,15,Sadness,Fear
4,35,Caution,Pride
17,26,Gratitude,Love
13,39,Devotion,Sadness
12,25,Despair,Longing
4,36,Caution,Respect
28,25,Melancholy,Longing
28,25,Melancholy,Longing
39,34,Sadness,Philosophy
25,28,Longing,Melancholy
36,38,Respect,Reverence
10,17,Contentment,Gratitude
26,39,Love,Sadness
23,8,Joy,Complaint
26,0,Love,Anger
39,26,Sadness,Love
