,precision,recall,f1-score,support
Anger,0.3333333333333333,0.10526315789473684,0.16,19.0
Betrayal,0.0,0.0,0.0,2.0
Calmness,0.5,0.5,0.5,2.0
Care,0.0,0.0,0.0,2.0
Caution,0.14285714285714285,0.5,0.2222222222222222,28.0
Clarity,0.0,0.0,0.0,2.0
Commitment,0.0,0.0,0.0,2.0
Compassion,0.5,0.25,0.3333333333333333,4.0
Complaint,0.0,0.0,0.0,4.0
Confidence,0.0,0.0,0.0,8.0
Contentment,0.5,0.16666666666666666,0.25,6.0
Courage,0.5,0.16666666666666666,0.25,6.0
Despair,0.0,0.0,0.0,11.0
Devotion,0.0,0.0,0.0,11.0
Duty,0.5,0.25,0.3333333333333333,4.0
Fear,0.5,0.125,0.2,24.0
Generosity,0.0,0.0,0.0,6.0
Gratitude,0.42857142857142855,0.375,0.4,8.0
Happiness,0.2,0.025,0.044444444444444446,40.0
Honesty,0.0,0.0,0.0,4.0
Hospitality,0.0,0.0,0.0,2.0
Humility,0.0,0.0,0.0,4.0
Integrity,0.5,0.5,0.5,4.0
Joy,0.6363636363636364,0.6363636363636364,0.6363636363636364,11.0
Kindness,0.5,0.3333333333333333,0.4,6.0
Longing,0.625,0.1388888888888889,0.22727272727272727,144.0
Love,0.20833333333333334,0.08333333333333333,0.11904761904761904,60.0
Loyalty,0.0,0.0,0.0,2.0
Melancholy,0.48847926267281105,0.954954954954955,0.6463414634146342,111.0
Mixed,0.0,0.0,0.0,15.0
Modesty,0.0,0.0,0.0,4.0
Nature,0.0,0.0,0.0,21.0
Patience,0.5,0.5,0.5,2.0
Patriotism,0.0,0.0,0.0,23.0
Philosophy,0.0,0.0,0.0,32.0
Pride,0.125,0.14285714285714285,0.13333333333333333,14.0
Respect,0.0,0.0,0.0,14.0
Responsibility,0.10526315789473684,0.14285714285714285,0.12121212121212122,14.0
Reverence,0.0,0.0,0.0,2.0
Sadness,0.3624161073825503,0.9908256880733946,0.5307125307125307,109.0
Security,0.3333333333333333,0.5,0.4,2.0
Self-Control,0.0,0.0,0.0,4.0
Shame,0.4375,0.4375,0.4375,16.0
Skill,0.0,0.0,0.0,2.0
Sorrow,0.0,0.0,0.0,2.0
Wisdom,0.14285714285714285,0.16666666666666666,0.15384615384615385,12.0
accuracy,0.35515151515151516,0.35515151515151516,0.35515151515151516,0.35515151515151516
macro avg,0.19715886692607495,0.17372124518601226,0.16302093301165413,825.0
weighted avg,0.32314072147244066,0.35515151515151516,0.26760988488882065,825.0
