,precision,recall,f1-score,support
Admiration,0.0,0.0,0.0,15.0
Anger,0.6,0.25,0.35294117647058826,12.0
Appreciation,0.0,0.0,0.0,1.0
Calmness,0.6666666666666666,1.0,0.8,2.0
Caution,0.42857142857142855,0.75,0.5454545454545454,4.0
Commitment,0.0,0.0,0.0,3.0
Compassion,0.0,0.0,0.0,3.0
Complaint,0.125,0.1111111111111111,0.11764705882352941,9.0
Confidence,0.14285714285714285,0.125,0.13333333333333333,8.0
Contentment,0.0,0.0,0.0,5.0
Courage,0.0,0.0,0.0,7.0
Decorum,0.0,0.0,0.0,2.0
Despair,0.0,0.0,0.0,21.0
Devotion,0.0,0.0,0.0,31.0
Disgust,0.0,0.0,0.0,1.0
Duty,0.1,0.09090909090909091,0.09523809523809523,11.0
Fear,0.3333333333333333,0.047619047619047616,0.08333333333333333,21.0
Gratitude,0.0,0.0,0.0,3.0
Happiness,0.2236842105263158,0.3695652173913043,0.2786885245901639,46.0
Honesty,0.5,0.5,0.5,4.0
Humility,0.0,0.0,0.0,3.0
Integrity,0.0,0.0,0.0,1.0
Joy,0.3333333333333333,0.12,0.17647058823529413,25.0
Justice,0.0,0.0,0.0,2.0
Kindness,0.5,0.25,0.3333333333333333,4.0
Longing,0.0,0.0,0.0,29.0
Love,0.13636363636363635,0.10714285714285714,0.12,28.0
Loyalty,0.0,0.0,0.0,2.0
Melancholy,0.0,0.0,0.0,57.0
Mixed,0.07692307692307693,0.045454545454545456,0.05714285714285714,22.0
Nature,0.09090909090909091,0.1,0.09523809523809523,20.0
Patience,0.0,0.0,0.0,2.0
Patriotism,0.15384615384615385,0.07692307692307693,0.10256410256410256,26.0
Peace,1.0,1.0,1.0,3.0
Pride,0.25,0.1,0.14285714285714285,10.0
Reflection,0.16129032258064516,0.1282051282051282,0.14285714285714285,39.0
Regret,0.3333333333333333,0.2631578947368421,0.29411764705882354,19.0
Respect,0.14130434782608695,0.5,0.22033898305084745,26.0
Responsibility,0.11764705882352941,0.13333333333333333,0.125,15.0
Restraint,0.0,0.0,0.0,0.0
Sadness,0.4266304347826087,0.7511961722488039,0.5441941074523396,209.0
Secrecy,0.0,0.0,0.0,1.0
Self-Control,0.5,0.16666666666666666,0.25,6.0
Self-Improvement,0.0,0.0,0.0,1.0
Shame,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
Shyness,1.0,0.6666666666666666,0.8,3.0
Sorrow,0.2702702702702703,0.5555555555555556,0.36363636363636365,18.0
Strategy,0.0,0.0,0.0,4.0
Strength,0.0,0.0,0.0,2.0
Struggle,0.0,0.0,0.0,2.0
Tenderness,0.0,0.0,0.0,4.0
Thankfulness,0.5,1.0,0.6666666666666666,2.0
Understanding,0.0,0.0,0.0,4.0
Virtue,0.25,0.2,0.2222222222222222,5.0
Wisdom,0.1,0.05263157894736842,0.06896551724137931,19.0
accuracy,0.2993939393939394,0.2993939393939394,0.2993939393939394,0.2993939393939394
macro avg,0.1780963122596361,0.17808129593172237,0.16301043945697327,825.0
weighted avg,0.22219376377082567,0.2993939393939394,0.23614839305522578,825.0
