True,Pred,True_Label,Pred_Label
10,37,Courage,Respect
6,46,Compassion,Sorrow
25,37,Longing,Respect
36,15,Regret,Duty
40,18,Sadness,Happiness
8,38,Confidence,Responsibility
28,40,Melancholy,Sadness
28,40,Melancholy,Sadness
18,35,Happiness,Reflection
12,40,Despair,Sadness
28,40,Melancholy,Sadness
32,26,Patriotism,Love
2,37,Appreciation,Respect
9,37,Contentment,Respect
28,40,Melancholy,Sadness
40,18,Sadness,Happiness
7,46,Complaint,Sorrow
25,40,Longing,Sadness
40,18,Sadness,Happiness
29,18,Mixed,Happiness
26,40,Love,Sadness
12,40,Despair,Sadness
32,26,Patriotism,Love
13,54,Devotion,Wisdom
26,18,Love,Happiness
35,18,Reflection,Happiness
28,40,Melancholy,Sadness
28,40,Melancholy,Sadness
16,37,Fear,Respect
7,46,Complaint,Sorrow
16,40,Fear,Sadness
24,36,Kindness,Regret
13,40,Devotion,Sadness
25,40,Longing,Sadness
35,32,Reflection,Patriotism
12,40,Despair,Sadness
35,29,Reflection,Mixed
35,18,Reflection,Happiness
13,40,Devotion,Sadness
37,43,Respect,Self-Improvement
32,35,Patriotism,Reflection
8,46,Confidence,Sorrow
40,18,Sadness,Happiness
7,46,Complaint,Sorrow
16,40,Fear,Sadness
30,40,Nature,Sadness
40,29,Sadness,Mixed
26,46,Love,Sorrow
8,37,Confidence,Respect
30,40,Nature,Sadness
28,40,Melancholy,Sadness
28,40,Melancholy,Sadness
25,40,Longing,Sadness
37,38,Respect,Responsibility
40,35,Sadness,Reflection
29,18,Mixed,Happiness
28,40,Melancholy,Sadness
54,22,Wisdom,Joy
15,37,Duty,Respect
28,40,Melancholy,Sadness
8,7,Confidence,Complaint
34,37,Pride,Respect
16,30,Fear,Nature
28,40,Melancholy,Sadness
40,26,Sadness,Love
12,40,Despair,Sadness
25,40,Longing,Sadness
32,40,Patriotism,Sadness
7,37,Complaint,Respect
18,32,Happiness,Patriotism
35,18,Reflection,Happiness
26,40,Love,Sadness
18,30,Happiness,Nature
38,46,Responsibility,Sorrow
31,53,Patience,Virtue
36,10,Regret,Courage
36,38,Regret,Responsibility
1,18,Anger,Happiness
16,30,Fear,Nature
28,40,Melancholy,Sadness
28,40,Melancholy,Sadness
40,35,Sadness,Reflection
36,37,Regret,Respect
40,29,Sadness,Mixed
29,40,Mixed,Sadness
54,37,Wisdom,Respect
37,8,Respect,Confidence
38,36,Responsibility,Regret
25,40,Longing,Sadness
28,40,Melancholy,Sadness
29,26,Mixed,Love
16,40,Fear,Sadness
32,18,Patriotism,Happiness
35,40,Reflection,Sadness
35,18,Reflection,Happiness
1,40,Anger,Sadness
37,38,Respect,Responsibility
38,36,Responsibility,Regret
40,18,Sadness,Happiness
0,37,Admiration,Respect
53,0,Virtue,Admiration
35,40,Reflection,Sadness
9,36,Contentment,Regret
30,35,Nature,Reflection
13,40,Devotion,Sadness
15,8,Duty,Confidence
35,40,Reflection,Sadness
40,18,Sadness,Happiness
49,37,Struggle,Respect
40,35,Sadness,Reflection
26,18,Love,Happiness
1,40,Anger,Sadness
35,40,Reflection,Sadness
28,40,Melancholy,Sadness
54,20,Wisdom,Humility
12,46,Despair,Sorrow
26,30,Love,Nature
10,22,Courage,Joy
40,35,Sadness,Reflection
0,37,Admiration,Respect
1,18,Anger,Happiness
13,40,Devotion,Sadness
30,18,Nature,Happiness
38,15,Responsibility,Duty
42,37,Self-Control,Respect
14,37,Disgust,Respect
10,37,Courage,Respect
40,18,Sadness,Happiness
13,40,Devotion,Sadness
38,37,Responsibility,Respect
34,47,Pride,Strategy
8,15,Confidence,Duty
34,14,Pride,Disgust
9,36,Contentment,Regret
34,44,Pride,Shame
35,26,Reflection,Love
30,40,Nature,Sadness
7,38,Complaint,Responsibility
18,35,Happiness,Reflection
