,precision,recall,f1-score,support
Anger,0.125,0.10526315789473684,0.11428571428571428,19.0
Betrayal,0.3333333333333333,1.0,0.5,2.0
Calmness,0.0,0.0,0.0,2.0
Care,0.125,0.5,0.2,2.0
Caution,0.0,0.0,0.0,28.0
Clarity,0.0,0.0,0.0,2.0
Commitment,0.5,1.0,0.6666666666666666,2.0
Compassion,0.0,0.0,0.0,4.0
Complaint,0.125,0.25,0.16666666666666666,4.0
Confidence,0.18181818181818182,0.25,0.21052631578947367,8.0
Contentment,0.0,0.0,0.0,6.0
Courage,0.125,0.16666666666666666,0.14285714285714285,6.0
Despair,0.16666666666666666,0.2727272727272727,0.20689655172413793,11.0
Devotion,0.16666666666666666,0.45454545454545453,0.24390243902439024,11.0
Duty,0.08333333333333333,0.25,0.125,4.0
Fear,0.125,0.041666666666666664,0.0625,24.0
Generosity,0.125,0.16666666666666666,0.14285714285714285,6.0
Gratitude,0.0,0.0,0.0,8.0
Happiness,0.29545454545454547,0.325,0.30952380952380953,40.0
Honesty,0.2,0.75,0.3157894736842105,4.0
Hospitality,0.25,0.5,0.3333333333333333,2.0
Humility,0.0,0.0,0.0,4.0
Integrity,0.058823529411764705,0.25,0.09523809523809523,4.0
Joy,0.2,0.09090909090909091,0.125,11.0
Kindness,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0
Longing,0.6666666666666666,0.3055555555555556,0.41904761904761906,144.0
Love,0.4,0.06666666666666667,0.11428571428571428,60.0
Loyalty,0.2,0.5,0.2857142857142857,2.0
Melancholy,0.5838926174496645,0.7837837837837838,0.6692307692307692,111.0
Mixed,0.02631578947368421,0.06666666666666667,0.03773584905660377,15.0
Modesty,0.0,0.0,0.0,4.0
Nature,0.06976744186046512,0.14285714285714285,0.09375,21.0
Patience,0.0,0.0,0.0,2.0
Patriotism,0.13157894736842105,0.21739130434782608,0.16393442622950818,23.0
Philosophy,0.20408163265306123,0.3125,0.24691358024691357,32.0
Pride,0.0,0.0,0.0,14.0
Respect,0.1,0.07142857142857142,0.08333333333333333,14.0
Responsibility,0.25,0.14285714285714285,0.18181818181818182,14.0
Reverence,0.0,0.0,0.0,2.0
Sadness,0.4,0.14678899082568808,0.21476510067114093,109.0
Security,0.0,0.0,0.0,2.0
Self-Control,0.0,0.0,0.0,4.0
Shame,0.07142857142857142,0.0625,0.06666666666666667,16.0
Skill,0.5,0.5,0.5,2.0
Sorrow,0.16666666666666666,1.0,0.2857142857142857,2.0
Wisdom,0.13636363636363635,0.25,0.17647058823529413,12.0
accuracy,0.27151515151515154,0.27151515151515154,0.27151515151515154,0.27151515151515154
macro avg,0.1614389469554057,0.24512552466084633,0.17029906707031375,825.0
weighted avg,0.34126194407521765,0.27151515151515154,0.26925486130768417,825.0
