,precision,recall,f1-score,support
Admiration,0.0,0.0,0.0,15.0
Anger,0.058823529411764705,0.16666666666666666,0.08695652173913043,12.0
Appreciation,0.16666666666666666,1.0,0.2857142857142857,1.0
Calmness,0.0,0.0,0.0,2.0
Caution,0.2857142857142857,0.5,0.36363636363636365,4.0
Commitment,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
Compassion,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
Complaint,0.23076923076923078,0.3333333333333333,0.2727272727272727,9.0
Confidence,0.0,0.0,0.0,8.0
Contentment,0.1,0.2,0.13333333333333333,5.0
Courage,0.25,0.2857142857142857,0.26666666666666666,7.0
Decorum,0.0,0.0,0.0,2.0
Despair,0.09090909090909091,0.047619047619047616,0.0625,21.0
Devotion,0.4444444444444444,0.25806451612903225,0.32653061224489793,31.0
Disgust,0.0,0.0,0.0,1.0
Duty,0.125,0.09090909090909091,0.10526315789473684,11.0
Fear,0.1111111111111111,0.14285714285714285,0.125,21.0
Gratitude,0.0,0.0,0.0,3.0
Happiness,0.34615384615384615,0.391304347826087,0.3673469387755102,46.0
Honesty,0.125,0.25,0.16666666666666666,4.0
Humility,0.0,0.0,0.0,3.0
Integrity,0.0,0.0,0.0,1.0
Joy,0.0,0.0,0.0,25.0
Justice,0.125,0.5,0.2,2.0
Kindness,0.1,0.25,0.14285714285714285,4.0
Longing,0.12121212121212122,0.27586206896551724,0.16842105263157894,29.0
Love,0.0,0.0,0.0,28.0
Loyalty,0.5,0.5,0.5,2.0
Melancholy,0.2318840579710145,0.5614035087719298,0.3282051282051282,57.0
Mixed,0.0625,0.09090909090909091,0.07407407407407407,22.0
Nature,0.05357142857142857,0.15,0.07894736842105263,20.0
Patience,0.0,0.0,0.0,2.0
Patriotism,0.16216216216216217,0.23076923076923078,0.19047619047619047,26.0
Peace,0.0,0.0,0.0,3.0
Pride,0.8,0.4,0.5333333333333333,10.0
Reflection,0.25,0.41025641025641024,0.3106796116504854,39.0
Regret,0.14285714285714285,0.05263157894736842,0.07692307692307693,19.0
Respect,0.3333333333333333,0.038461538461538464,0.06896551724137931,26.0
Responsibility,0.0,0.0,0.0,15.0
Restraint,0.0,0.0,0.0,0.0
Sadness,0.0,0.0,0.0,209.0
Secrecy,0.0,0.0,0.0,1.0
Self-Control,0.2222222222222222,0.3333333333333333,0.26666666666666666,6.0
Self-Improvement,0.0,0.0,0.0,1.0
Shame,0.0,0.0,0.0,3.0
Shyness,0.0,0.0,0.0,3.0
Sorrow,0.2857142857142857,0.1111111111111111,0.16,18.0
Strategy,0.0,0.0,0.0,4.0
Strength,0.0,0.0,0.0,2.0
Struggle,0.16666666666666666,1.0,0.2857142857142857,2.0
Tenderness,0.0,0.0,0.0,4.0
Thankfulness,0.07692307692307693,0.5,0.13333333333333333,2.0
Understanding,0.16666666666666666,0.5,0.25,4.0
Virtue,0.0,0.0,0.0,5.0
Wisdom,0.0,0.0,0.0,19.0
accuracy,0.15757575757575756,0.15757575757575756,0.15757575757575756,0.15757575757575756
macro avg,0.12367221883904052,0.18614314489539788,0.12722918668351382,825.0
weighted avg,0.12844458763733352,0.15757575757575756,0.12521327399668156,825.0
