,precision,recall,f1-score,support
Anger,0.0,0.0,0.0,19.0
Betrayal,0.0,0.0,0.0,2.0
Calmness,0.0,0.0,0.0,2.0
Care,0.0,0.0,0.0,2.0
Caution,0.25,0.07142857142857142,0.1111111111111111,28.0
Clarity,0.0,0.0,0.0,2.0
Commitment,0.0,0.0,0.0,2.0
Compassion,0.0,0.0,0.0,4.0
Complaint,0.0,0.0,0.0,4.0
Confidence,0.0,0.0,0.0,8.0
Contentment,0.0,0.0,0.0,6.0
Courage,0.0,0.0,0.0,6.0
Despair,0.0,0.0,0.0,11.0
Devotion,0.0,0.0,0.0,11.0
Duty,0.0,0.0,0.0,4.0
Fear,0.0,0.0,0.0,24.0
Generosity,0.0,0.0,0.0,6.0
Gratitude,0.0,0.0,0.0,8.0
Happiness,0.0,0.0,0.0,40.0
Honesty,0.0,0.0,0.0,4.0
Hospitality,0.0,0.0,0.0,2.0
Humility,0.0,0.0,0.0,4.0
Integrity,0.0,0.0,0.0,4.0
Joy,0.0,0.0,0.0,11.0
Kindness,0.0,0.0,0.0,6.0
Longing,0.23591549295774647,0.4652777777777778,0.3130841121495327,144.0
Love,0.08333333333333333,0.05,0.0625,60.0
Loyalty,0.0,0.0,0.0,2.0
Melancholy,0.5138121546961326,0.8378378378378378,0.636986301369863,111.0
Mixed,0.0,0.0,0.0,15.0
Modesty,0.0,0.0,0.0,4.0
Nature,0.0,0.0,0.0,21.0
Patience,0.0,0.0,0.0,2.0
Patriotism,0.0,0.0,0.0,23.0
Philosophy,0.0,0.0,0.0,32.0
Pride,0.0,0.0,0.0,14.0
Respect,0.0,0.0,0.0,14.0
Responsibility,0.0,0.0,0.0,14.0
Reverence,0.0,0.0,0.0,2.0
Sadness,0.3449367088607595,1.0,0.5129411764705882,109.0
Security,0.0,0.0,0.0,2.0
Self-Control,0.0,0.0,0.0,4.0
Shame,0.0,0.0,0.0,16.0
Skill,0.0,0.0,0.0,2.0
Sorrow,0.0,0.0,0.0,2.0
Wisdom,0.0,0.0,0.0,12.0
accuracy,0.3321212121212121,0.3321212121212121,0.3321212121212121,0.3321212121212121
macro avg,0.0310434280401733,0.05270748232704755,0.03557875437176294,825.0
weighted avg,0.17042797748243516,0.3321212121212121,0.21643792842180937,825.0
