,precision,recall,f1-score,support
Admiration,0.0,0.0,0.0,15.0
Anger,0.0,0.0,0.0,12.0
Appreciation,0.0,0.0,0.0,1.0
Calmness,0.0,0.0,0.0,2.0
Caution,0.0,0.0,0.0,4.0
Commitment,0.0,0.0,0.0,3.0
Compassion,0.0,0.0,0.0,3.0
Complaint,0.0,0.0,0.0,9.0
Confidence,0.0,0.0,0.0,8.0
Contentment,0.0,0.0,0.0,5.0
Courage,0.0,0.0,0.0,7.0
Decorum,0.0,0.0,0.0,2.0
Despair,0.0,0.0,0.0,21.0
Devotion,0.0,0.0,0.0,31.0
Disgust,0.0,0.0,0.0,1.0
Duty,0.0,0.0,0.0,11.0
Fear,0.0,0.0,0.0,21.0
Gratitude,0.0,0.0,0.0,3.0
Happiness,0.0,0.0,0.0,46.0
Honesty,0.0,0.0,0.0,4.0
Humility,0.0,0.0,0.0,3.0
Integrity,0.0,0.0,0.0,1.0
Joy,0.375,0.12,0.18181818181818182,25.0
Justice,0.0,0.0,0.0,2.0
Kindness,0.0,0.0,0.0,4.0
Longing,0.0,0.0,0.0,29.0
Love,0.15,0.10714285714285714,0.125,28.0
Loyalty,0.0,0.0,0.0,2.0
Melancholy,0.0,0.0,0.0,57.0
Mixed,0.0,0.0,0.0,22.0
Nature,0.0,0.0,0.0,20.0
Patience,0.0,0.0,0.0,2.0
Patriotism,0.0,0.0,0.0,26.0
Peace,0.0,0.0,0.0,3.0
Pride,0.0,0.0,0.0,10.0
Reflection,0.0,0.0,0.0,39.0
Regret,1.0,0.05263157894736842,0.1,19.0
Respect,0.12,0.6923076923076923,0.20454545454545456,26.0
Responsibility,0.0,0.0,0.0,15.0
Sadness,0.3270735524256651,1.0,0.49292452830188677,209.0
Secrecy,0.0,0.0,0.0,1.0
Self-Control,0.0,0.0,0.0,6.0
Self-Improvement,0.0,0.0,0.0,1.0
Shame,0.0,0.0,0.0,3.0
Shyness,0.0,0.0,0.0,3.0
Sorrow,0.2857142857142857,0.1111111111111111,0.16,18.0
Strategy,0.0,0.0,0.0,4.0
Strength,0.0,0.0,0.0,2.0
Struggle,0.0,0.0,0.0,2.0
Tenderness,0.0,0.0,0.0,4.0
Thankfulness,0.0,0.0,0.0,2.0
Understanding,0.0,0.0,0.0,4.0
Virtue,0.0,0.0,0.0,5.0
Wisdom,0.0,0.0,0.0,19.0
accuracy,0.28606060606060607,0.28606060606060607,0.28606060606060607,0.28606060606060607
macro avg,0.04181088589148057,0.03857765258350054,0.02341274379010228,825.0
weighted avg,0.1323590661816014,0.28606060606060607,0.1468665003378554,825.0
