True,Pred,True_Label,Pred_Label
8,25,Complaint,Longing
42,36,Shame,Respect
34,39,Philosophy,Sadness
11,37,Courage,Responsibility
25,28,Longing,Melancholy
39,26,Sadness,Love
33,39,Patriotism,Sadness
25,28,Longing,Melancholy
39,26,Sadness,Love
39,33,Sadness,Patriotism
17,10,Gratitude,Contentment
26,35,Love,Pride
12,28,Despair,Melancholy
25,26,Longing,Love
25,28,Longing,Melancholy
39,31,Sadness,Nature
28,25,Melancholy,Longing
33,39,Patriotism,Sadness
21,37,Humility,Responsibility
34,29,Philosophy,Mixed
25,28,Longing,Melancholy
4,17,Caution,Gratitude
0,39,Anger,Sadness
7,37,Compassion,Responsibility
12,25,Despair,Longing
18,31,Happiness,Nature
31,15,Nature,Fear
34,39,Philosophy,Sadness
39,31,Sadness,Nature
28,25,Melancholy,Longing
39,34,Sadness,Philosophy
5,25,Clarity,Longing
39,26,Sadness,Love
34,39,Philosophy,Sadness
31,29,Nature,Mixed
18,39,Happiness,Sadness
37,15,Responsibility,Fear
42,14,Shame,Duty
18,39,Happiness,Sadness
25,28,Longing,Melancholy
12,25,Despair,Longing
28,25,Melancholy,Longing
17,19,Gratitude,Honesty
39,26,Sadness,Love
29,18,Mixed,Happiness
25,28,Longing,Melancholy
31,39,Nature,Sadness
28,25,Melancholy,Longing
37,7,Responsibility,Compassion
16,4,Generosity,Caution
0,39,Anger,Sadness
39,0,Sadness,Anger
25,28,Longing,Melancholy
25,28,Longing,Melancholy
26,0,Love,Anger
31,26,Nature,Love
25,28,Longing,Melancholy
26,39,Love,Sadness
45,26,Wisdom,Love
2,22,Calmness,Integrity
28,25,Melancholy,Longing
15,39,Fear,Sadness
7,4,Compassion,Caution
25,28,Longing,Melancholy
19,4,Honesty,Caution
31,39,Nature,Sadness
18,39,Happiness,Sadness
19,26,Honesty,Love
43,19,Skill,Honesty
28,25,Melancholy,Longing
28,25,Melancholy,Longing
25,28,Longing,Melancholy
34,39,Philosophy,Sadness
0,26,Anger,Love
0,39,Anger,Sadness
26,18,Love,Happiness
34,29,Philosophy,Mixed
39,26,Sadness,Love
29,34,Mixed,Philosophy
45,10,Wisdom,Contentment
34,39,Philosophy,Sadness
15,18,Fear,Happiness
26,25,Love,Longing
36,37,Respect,Responsibility
41,23,Self-Control,Joy
26,42,Love,Shame
13,39,Devotion,Sadness
25,35,Longing,Pride
25,28,Longing,Melancholy
26,33,Love,Patriotism
44,4,Sorrow,Caution
34,39,Philosophy,Sadness
29,18,Mixed,Happiness
39,26,Sadness,Love
29,39,Mixed,Sadness
25,28,Longing,Melancholy
19,4,Honesty,Caution
22,4,Integrity,Caution
18,31,Happiness,Nature
9,4,Confidence,Caution
34,15,Philosophy,Fear
15,39,Fear,Sadness
21,36,Humility,Respect
39,34,Sadness,Philosophy
25,28,Longing,Melancholy
14,45,Duty,Wisdom
10,9,Contentment,Confidence
37,0,Responsibility,Anger
39,0,Sadness,Anger
25,28,Longing,Melancholy
20,25,Hospitality,Longing
5,37,Clarity,Responsibility
37,3,Responsibility,Care
37,42,Responsibility,Shame
31,39,Nature,Sadness
25,9,Longing,Confidence
28,25,Melancholy,Longing
24,42,Kindness,Shame
22,36,Integrity,Respect
