,precision,recall,f1-score,support
Anger,0.0,0.0,0.0,19.0
Betrayal,0.0,0.0,0.0,2.0
Calmness,0.0,0.0,0.0,2.0
Care,0.0,0.0,0.0,2.0
Caution,0.13131313131313133,0.4642857142857143,0.2047244094488189,28.0
Clarity,0.0,0.0,0.0,2.0
Commitment,0.0,0.0,0.0,2.0
Compassion,0.0,0.0,0.0,4.0
Complaint,0.0,0.0,0.0,4.0
Confidence,0.3333333333333333,0.125,0.18181818181818182,8.0
Contentment,0.5,0.16666666666666666,0.25,6.0
Courage,0.0,0.0,0.0,6.0
Despair,0.0,0.0,0.0,11.0
Devotion,0.0,0.0,0.0,11.0
Duty,0.0,0.0,0.0,4.0
Fear,0.0,0.0,0.0,24.0
Generosity,0.0,0.0,0.0,6.0
Gratitude,0.0,0.0,0.0,8.0
Happiness,0.3,0.075,0.12,40.0
Honesty,0.0,0.0,0.0,4.0
Hospitality,0.0,0.0,0.0,2.0
Humility,0.0,0.0,0.0,4.0
Integrity,0.0,0.0,0.0,4.0
Joy,0.25,0.09090909090909091,0.13333333333333333,11.0
Kindness,0.5,0.16666666666666666,0.25,6.0
Longing,0.4434782608695652,0.7083333333333334,0.5454545454545454,144.0
Love,0.1794871794871795,0.11666666666666667,0.1414141414141414,60.0
Loyalty,0.0,0.0,0.0,2.0
Melancholy,0.6494845360824743,0.5675675675675675,0.6057692307692307,111.0
Mixed,0.0,0.0,0.0,15.0
Modesty,0.0,0.0,0.0,4.0
Nature,0.0,0.0,0.0,21.0
Patience,0.0,0.0,0.0,2.0
Patriotism,0.0,0.0,0.0,23.0
Philosophy,0.0,0.0,0.0,32.0
Pride,0.16666666666666666,0.07142857142857142,0.1,14.0
Respect,0.0,0.0,0.0,14.0
Responsibility,0.25,0.14285714285714285,0.18181818181818182,14.0
Reverence,0.0,0.0,0.0,2.0
Sadness,0.35451505016722407,0.9724770642201835,0.5196078431372549,109.0
Security,0.0,0.0,0.0,2.0
Self-Control,0.0,0.0,0.0,4.0
Shame,0.1111111111111111,0.0625,0.08,16.0
Skill,0.0,0.0,0.0,2.0
Sorrow,0.0,0.0,0.0,2.0
Wisdom,0.3333333333333333,0.08333333333333333,0.13333333333333333,12.0
accuracy,0.36727272727272725,0.36727272727272725,0.36727272727272725,0.36727272727272725
macro avg,0.09788527396443518,0.08290634386815081,0.07494072175058743,825.0
weighted avg,0.27159947849984933,0.36727272727272725,0.2838629002168267,825.0
