True,Pred,True_Label,Pred_Label
16,25,Generosity,Longing
8,25,Complaint,Longing
42,26,Shame,Love
34,39,Philosophy,Sadness
11,35,Courage,Pride
25,28,Longing,Melancholy
33,39,Patriotism,Sadness
17,25,Gratitude,Longing
26,4,Love,Caution
12,25,Despair,Longing
25,28,Longing,Melancholy
39,18,Sadness,Happiness
28,25,Melancholy,Longing
33,39,Patriotism,Sadness
21,37,Humility,Responsibility
34,39,Philosophy,Sadness
25,28,Longing,Melancholy
25,26,Longing,Love
18,39,Happiness,Sadness
0,39,Anger,Sadness
7,8,Compassion,Complaint
12,25,Despair,Longing
18,39,Happiness,Sadness
31,39,Nature,Sadness
31,39,Nature,Sadness
34,39,Philosophy,Sadness
28,25,Melancholy,Longing
5,4,Clarity,Caution
34,39,Philosophy,Sadness
31,29,Nature,Mixed
18,39,Happiness,Sadness
17,4,Gratitude,Caution
37,4,Responsibility,Caution
42,4,Shame,Caution
18,39,Happiness,Sadness
25,28,Longing,Melancholy
12,25,Despair,Longing
28,25,Melancholy,Longing
17,42,Gratitude,Shame
29,39,Mixed,Sadness
26,4,Love,Caution
31,39,Nature,Sadness
28,25,Melancholy,Longing
37,25,Responsibility,Longing
16,25,Generosity,Longing
0,39,Anger,Sadness
25,28,Longing,Melancholy
25,28,Longing,Melancholy
25,4,Longing,Caution
26,39,Love,Sadness
25,4,Longing,Caution
31,39,Nature,Sadness
25,26,Longing,Love
26,39,Love,Sadness
45,4,Wisdom,Caution
2,4,Calmness,Caution
42,4,Shame,Caution
28,25,Melancholy,Longing
42,25,Shame,Longing
15,39,Fear,Sadness
7,26,Compassion,Love
25,28,Longing,Melancholy
34,39,Philosophy,Sadness
4,25,Caution,Longing
15,39,Fear,Sadness
19,25,Honesty,Longing
31,39,Nature,Sadness
18,39,Happiness,Sadness
19,4,Honesty,Caution
35,9,Pride,Confidence
43,36,Skill,Respect
28,25,Melancholy,Longing
34,39,Philosophy,Sadness
0,39,Anger,Sadness
0,39,Anger,Sadness
26,39,Love,Sadness
34,39,Philosophy,Sadness
29,39,Mixed,Sadness
37,26,Responsibility,Love
45,25,Wisdom,Longing
34,39,Philosophy,Sadness
15,39,Fear,Sadness
26,25,Love,Longing
36,4,Respect,Caution
41,4,Self-Control,Caution
26,42,Love,Shame
13,39,Devotion,Sadness
25,28,Longing,Melancholy
26,25,Love,Longing
26,39,Love,Sadness
0,39,Anger,Sadness
44,4,Sorrow,Caution
34,39,Philosophy,Sadness
29,39,Mixed,Sadness
29,39,Mixed,Sadness
19,4,Honesty,Caution
25,42,Longing,Shame
22,4,Integrity,Caution
9,25,Confidence,Longing
26,39,Love,Sadness
34,39,Philosophy,Sadness
15,39,Fear,Sadness
21,26,Humility,Love
26,39,Love,Sadness
14,4,Duty,Caution
10,4,Contentment,Caution
42,26,Shame,Love
37,0,Responsibility,Anger
4,26,Caution,Love
20,25,Hospitality,Longing
5,26,Clarity,Love
37,4,Responsibility,Caution
23,4,Joy,Caution
37,4,Responsibility,Caution
31,18,Nature,Happiness
34,39,Philosophy,Sadness
25,26,Longing,Love
31,39,Nature,Sadness
15,39,Fear,Sadness
24,4,Kindness,Caution
22,42,Integrity,Shame
26,39,Love,Sadness
26,35,Love,Pride
36,4,Respect,Caution
4,16,Caution,Generosity
35,45,Pride,Wisdom
28,25,Melancholy,Longing
37,4,Responsibility,Caution
15,39,Fear,Sadness
33,39,Patriotism,Sadness
13,25,Devotion,Longing
0,39,Anger,Sadness
34,39,Philosophy,Sadness
