,precision,recall,f1-score,support
Admiration,0.25,0.13333333333333333,0.17391304347826086,15.0
Anger,0.3333333333333333,0.08333333333333333,0.13333333333333333,12.0
Appreciation,0.0,0.0,0.0,1.0
Calmness,0.0,0.0,0.0,2.0
Caution,0.0,0.0,0.0,4.0
Commitment,0.0,0.0,0.0,3.0
Compassion,1.0,0.3333333333333333,0.5,3.0
Complaint,0.3333333333333333,0.2222222222222222,0.26666666666666666,9.0
Confidence,0.1,0.125,0.1111111111111111,8.0
Contentment,0.0,0.0,0.0,5.0
Courage,0.6666666666666666,0.2857142857142857,0.4,7.0
Decorum,0.0,0.0,0.0,2.0
Despair,0.0,0.0,0.0,21.0
Devotion,0.42857142857142855,0.0967741935483871,0.15789473684210525,31.0
Disgust,0.0,0.0,0.0,1.0
Duty,0.13333333333333333,0.18181818181818182,0.15384615384615385,11.0
Fear,0.0,0.0,0.0,21.0
Gratitude,0.0,0.0,0.0,3.0
Happiness,0.0,0.0,0.0,46.0
Honesty,0.0,0.0,0.0,4.0
Humility,0.0,0.0,0.0,3.0
Integrity,0.0,0.0,0.0,1.0
Joy,0.3076923076923077,0.16,0.21052631578947367,25.0
Justice,0.0,0.0,0.0,2.0
Kindness,0.0,0.0,0.0,4.0
Longing,0.0,0.0,0.0,29.0
Love,0.25,0.03571428571428571,0.0625,28.0
Loyalty,0.0,0.0,0.0,2.0
Melancholy,0.2,0.14035087719298245,0.16494845360824742,57.0
Mixed,0.0,0.0,0.0,22.0
Nature,0.0,0.0,0.0,20.0
Patience,0.0,0.0,0.0,2.0
Patriotism,0.0,0.0,0.0,26.0
Peace,0.0,0.0,0.0,3.0
Pride,0.0,0.0,0.0,10.0
Reflection,1.0,0.02564102564102564,0.05,39.0
Regret,0.16666666666666666,0.21052631578947367,0.18604651162790697,19.0
Respect,0.09401709401709402,0.4230769230769231,0.15384615384615385,26.0
Responsibility,0.0,0.0,0.0,15.0
Sadness,0.39068825910931176,0.9234449760765551,0.5490753911806543,209.0
Secrecy,0.0,0.0,0.0,1.0
Self-Control,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
Self-Improvement,0.0,0.0,0.0,1.0
Shame,0.0,0.0,0.0,3.0
Shyness,0.0,0.0,0.0,3.0
Sorrow,0.10714285714285714,0.16666666666666666,0.13043478260869565,18.0
Strategy,0.0,0.0,0.0,4.0
Strength,0.0,0.0,0.0,2.0
Struggle,0.0,0.0,0.0,2.0
Tenderness,0.0,0.0,0.0,4.0
Thankfulness,0.5,0.5,0.5,2.0
Understanding,0.0,0.0,0.0,4.0
Virtue,0.0,0.0,0.0,5.0
Wisdom,0.07692307692307693,0.05263157894736842,0.0625,19.0
accuracy,0.29454545454545455,0.29454545454545455,0.29454545454545455,0.29454545454545455
macro avg,0.12972287080474215,0.08209101603225352,0.08168679811820755,825.0
weighted avg,0.23601990601990602,0.29454545454545455,0.2015072509784156,825.0
