True,Pred,True_Label,Pred_Label
6,22,Compassion,Joy
25,37,Longing,Respect
36,34,Regret,Pride
8,37,Confidence,Respect
28,40,Melancholy,Sadness
18,40,Happiness,Sadness
12,40,Despair,Sadness
28,40,Melancholy,Sadness
32,40,Patriotism,Sadness
18,40,Happiness,Sadness
2,36,Appreciation,Regret
9,37,Contentment,Respect
28,40,Melancholy,Sadness
25,40,Longing,Sadness
29,40,Mixed,Sadness
26,40,Love,Sadness
12,28,Despair,Melancholy
32,40,Patriotism,Sadness
13,54,Devotion,Wisdom
26,40,Love,Sadness
35,40,Reflection,Sadness
28,40,Melancholy,Sadness
28,40,Melancholy,Sadness
16,37,Fear,Respect
7,15,Complaint,Duty
18,40,Happiness,Sadness
16,40,Fear,Sadness
24,46,Kindness,Sorrow
13,40,Devotion,Sadness
25,40,Longing,Sadness
18,40,Happiness,Sadness
35,40,Reflection,Sadness
12,28,Despair,Melancholy
35,40,Reflection,Sadness
35,40,Reflection,Sadness
13,28,Devotion,Melancholy
37,46,Respect,Sorrow
32,40,Patriotism,Sadness
8,37,Confidence,Respect
7,46,Complaint,Sorrow
16,40,Fear,Sadness
30,29,Nature,Mixed
26,54,Love,Wisdom
8,36,Confidence,Regret
36,0,Regret,Admiration
30,40,Nature,Sadness
28,40,Melancholy,Sadness
25,40,Longing,Sadness
37,54,Respect,Wisdom
29,40,Mixed,Sadness
54,37,Wisdom,Respect
15,36,Duty,Regret
28,40,Melancholy,Sadness
40,28,Sadness,Melancholy
34,1,Pride,Anger
22,37,Joy,Respect
16,40,Fear,Sadness
46,37,Sorrow,Respect
12,40,Despair,Sadness
25,40,Longing,Sadness
46,37,Sorrow,Respect
32,40,Patriotism,Sadness
7,37,Complaint,Respect
18,40,Happiness,Sadness
35,40,Reflection,Sadness
26,40,Love,Sadness
46,37,Sorrow,Respect
18,40,Happiness,Sadness
38,46,Responsibility,Sorrow
31,37,Patience,Respect
36,54,Regret,Wisdom
40,28,Sadness,Melancholy
36,37,Regret,Respect
1,40,Anger,Sadness
16,40,Fear,Sadness
40,28,Sadness,Melancholy
28,40,Melancholy,Sadness
24,15,Kindness,Duty
28,40,Melancholy,Sadness
36,37,Regret,Respect
54,37,Wisdom,Respect
18,40,Happiness,Sadness
29,40,Mixed,Sadness
54,37,Wisdom,Respect
37,8,Respect,Confidence
