True,Pred,True_Label,Pred_Label
25,7,Longing,Complaint
36,9,Regret,Contentment
40,29,Sadness,Mixed
8,38,Confidence,Responsibility
28,40,Melancholy,Sadness
40,32,Sadness,Patriotism
18,26,Happiness,Love
12,40,Despair,Sadness
32,26,Patriotism,Love
9,22,Contentment,Joy
28,40,Melancholy,Sadness
40,26,Sadness,Love
25,28,Longing,Melancholy
40,26,Sadness,Love
29,32,Mixed,Patriotism
26,29,Love,Mixed
12,28,Despair,Melancholy
13,37,Devotion,Respect
26,1,Love,Anger
35,18,Reflection,Happiness
28,40,Melancholy,Sadness
16,29,Fear,Mixed
24,15,Kindness,Duty
25,28,Longing,Melancholy
35,16,Reflection,Fear
12,28,Despair,Melancholy
35,32,Reflection,Patriotism
40,32,Sadness,Patriotism
35,29,Reflection,Mixed
13,28,Devotion,Melancholy
40,35,Sadness,Reflection
32,26,Patriotism,Love
8,42,Confidence,Self-Control
16,18,Fear,Happiness
30,29,Nature,Mixed
40,32,Sadness,Patriotism
26,51,Love,Thankfulness
8,36,Confidence,Regret
36,23,Regret,Justice
30,40,Nature,Sadness
28,25,Melancholy,Longing
25,40,Longing,Sadness
37,8,Respect,Confidence
40,30,Sadness,Nature
29,18,Mixed,Happiness
40,35,Sadness,Reflection
54,24,Wisdom,Kindness
28,22,Melancholy,Joy
8,10,Confidence,Courage
40,22,Sadness,Joy
34,24,Pride,Kindness
22,6,Joy,Compassion
16,35,Fear,Reflection
40,30,Sadness,Nature
40,26,Sadness,Love
12,40,Despair,Sadness
25,40,Longing,Sadness
32,26,Patriotism,Love
35,32,Reflection,Patriotism
26,40,Love,Sadness
38,34,Responsibility,Pride
31,19,Patience,Honesty
40,25,Sadness,Longing
1,40,Anger,Sadness
16,30,Fear,Nature
40,25,Sadness,Longing
28,13,Melancholy,Devotion
40,35,Sadness,Reflection
36,37,Regret,Respect
40,30,Sadness,Nature
54,46,Wisdom,Sorrow
18,35,Happiness,Reflection
54,37,Wisdom,Respect
37,8,Respect,Confidence
38,21,Responsibility,Integrity
25,28,Longing,Melancholy
40,35,Sadness,Reflection
28,22,Melancholy,Joy
29,26,Mixed,Love
16,29,Fear,Mixed
32,16,Patriotism,Fear
35,26,Reflection,Love
35,40,Reflection,Sadness
1,35,Anger,Reflection
37,15,Respect,Duty
40,16,Sadness,Fear
45,46,Shyness,Sorrow
0,47,Admiration,Strategy
35,30,Reflection,Nature
9,36,Contentment,Regret
30,35,Nature,Reflection
46,45,Sorrow,Shyness
13,40,Devotion,Sadness
35,40,Reflection,Sadness
40,18,Sadness,Happiness
26,18,Love,Happiness
40,29,Sadness,Mixed
1,29,Anger,Mixed
40,25,Sadness,Longing
54,37,Wisdom,Respect
12,48,Despair,Strength
19,38,Honesty,Responsibility
26,18,Love,Happiness
40,35,Sadness,Reflection
40,1,Sadness,Anger
40,13,Sadness,Devotion
42,20,Self-Control,Humility
1,35,Anger,Reflection
30,32,Nature,Patriotism
38,47,Responsibility,Strategy
42,4,Self-Control,Caution
14,46,Disgust,Sorrow
40,28,Sadness,Melancholy
10,4,Courage,Caution
40,32,Sadness,Patriotism
40,12,Sadness,Despair
34,38,Pride,Responsibility
8,15,Confidence,Duty
34,38,Pride,Responsibility
