True,Pred,True_Label,Pred_Label
25,7,Longing,Complaint
36,22,Regret,Joy
40,29,Sadness,Mixed
8,38,Confidence,Responsibility
28,40,Melancholy,Sadness
40,32,Sadness,Patriotism
18,26,Happiness,Love
12,40,Despair,Sadness
32,26,Patriotism,Love
9,22,Contentment,Joy
28,40,Melancholy,Sadness
40,26,Sadness,Love
25,40,Longing,Sadness
40,26,Sadness,Love
29,32,Mixed,Patriotism
26,40,Love,Sadness
12,28,Despair,Melancholy
32,40,Patriotism,Sadness
13,37,Devotion,Respect
26,1,Love,Anger
35,40,Reflection,Sadness
28,40,Melancholy,Sadness
16,29,Fear,Mixed
24,37,Kindness,Respect
13,28,Devotion,Melancholy
25,28,Longing,Melancholy
12,28,Despair,Melancholy
35,32,Reflection,Patriotism
35,29,Reflection,Mixed
13,28,Devotion,Melancholy
40,35,Sadness,Reflection
32,26,Patriotism,Love
8,42,Confidence,Self-Control
16,18,Fear,Happiness
30,29,Nature,Mixed
26,21,Love,Integrity
8,36,Confidence,Regret
36,23,Regret,Justice
30,40,Nature,Sadness
28,25,Melancholy,Longing
28,40,Melancholy,Sadness
25,40,Longing,Sadness
37,8,Respect,Confidence
40,30,Sadness,Nature
29,18,Mixed,Happiness
54,24,Wisdom,Kindness
8,10,Confidence,Courage
40,22,Sadness,Joy
34,24,Pride,Kindness
22,12,Joy,Despair
16,40,Fear,Sadness
40,30,Sadness,Nature
12,40,Despair,Sadness
25,40,Longing,Sadness
32,26,Patriotism,Love
35,32,Reflection,Patriotism
26,40,Love,Sadness
18,40,Happiness,Sadness
38,34,Responsibility,Pride
31,19,Patience,Honesty
40,25,Sadness,Longing
1,40,Anger,Sadness
16,30,Fear,Nature
40,28,Sadness,Melancholy
28,40,Melancholy,Sadness
40,35,Sadness,Reflection
36,37,Regret,Respect
54,37,Wisdom,Respect
18,40,Happiness,Sadness
54,37,Wisdom,Respect
37,8,Respect,Confidence
38,21,Responsibility,Integrity
25,28,Longing,Melancholy
40,35,Sadness,Reflection
28,22,Melancholy,Joy
29,26,Mixed,Love
16,40,Fear,Sadness
32,40,Patriotism,Sadness
30,40,Nature,Sadness
35,40,Reflection,Sadness
35,40,Reflection,Sadness
1,35,Anger,Reflection
37,15,Respect,Duty
38,37,Responsibility,Respect
45,46,Shyness,Sorrow
0,47,Admiration,Strategy
53,22,Virtue,Joy
35,30,Reflection,Nature
9,36,Contentment,Regret
30,35,Nature,Reflection
46,45,Sorrow,Shyness
13,40,Devotion,Sadness
15,38,Duty,Responsibility
35,40,Reflection,Sadness
40,18,Sadness,Happiness
26,18,Love,Happiness
1,40,Anger,Sadness
54,37,Wisdom,Respect
12,4,Despair,Caution
19,38,Honesty,Responsibility
26,40,Love,Sadness
40,26,Sadness,Love
40,1,Sadness,Anger
40,13,Sadness,Devotion
42,20,Self-Control,Humility
1,40,Anger,Sadness
13,40,Devotion,Sadness
30,32,Nature,Patriotism
38,47,Responsibility,Strategy
42,12,Self-Control,Despair
14,46,Disgust,Sorrow
40,28,Sadness,Melancholy
10,4,Courage,Caution
40,16,Sadness,Fear
34,38,Pride,Responsibility
8,15,Confidence,Duty
34,38,Pride,Responsibility
34,46,Pride,Sorrow
30,35,Nature,Reflection
7,10,Complaint,Courage
40,28,Sadness,Melancholy
18,30,Happiness,Nature
29,35,Mixed,Reflection
37,54,Respect,Wisdom
19,0,Honesty,Admiration
13,40,Devotion,Sadness
40,26,Sadness,Love
16,37,Fear,Respect
27,54,Loyalty,Wisdom
54,34,Wisdom,Pride
25,40,Longing,Sadness
40,35,Sadness,Reflection
37,54,Respect,Wisdom
32,35,Patriotism,Reflection
25,28,Longing,Melancholy
54,53,Wisdom,Virtue
40,18,Sadness,Happiness
40,26,Sadness,Love
16,26,Fear,Love
32,40,Patriotism,Sadness
12,7,Despair,Complaint
49,46,Struggle,Sorrow
40,35,Sadness,Reflection
26,50,Love,Tenderness
22,28,Joy,Melancholy
40,28,Sadness,Melancholy
12,28,Despair,Melancholy
12,40,Despair,Sadness
37,54,Respect,Wisdom
20,1,Humility,Anger
40,16,Sadness,Fear
38,47,Responsibility,Strategy
13,40,Devotion,Sadness
25,40,Longing,Sadness
37,38,Respect,Responsibility
32,40,Patriotism,Sadness
35,40,Reflection,Sadness
25,40,Longing,Sadness
40,30,Sadness,Nature
15,37,Duty,Respect
12,36,Despair,Regret
18,40,Happiness,Sadness
18,40,Happiness,Sadness
0,22,Admiration,Joy
37,8,Respect,Confidence
18,26,Happiness,Love
40,25,Sadness,Longing
30,40,Nature,Sadness
26,54,Love,Wisdom
40,35,Sadness,Reflection
36,54,Regret,Wisdom
26,30,Love,Nature
22,26,Joy,Love
10,26,Courage,Love
37,38,Respect,Responsibility
35,18,Reflection,Happiness
40,30,Sadness,Nature
28,40,Melancholy,Sadness
40,28,Sadness,Melancholy
12,28,Despair,Melancholy
40,35,Sadness,Reflection
13,40,Devotion,Sadness
28,22,Melancholy,Joy
38,22,Responsibility,Joy
29,40,Mixed,Sadness
30,40,Nature,Sadness
22,46,Joy,Sorrow
13,22,Devotion,Joy
13,26,Devotion,Love
28,40,Melancholy,Sadness
29,40,Mixed,Sadness
12,40,Despair,Sadness
22,40,Joy,Sadness
25,40,Longing,Sadness
40,28,Sadness,Melancholy
18,30,Happiness,Nature
26,40,Love,Sadness
32,40,Patriotism,Sadness
12,34,Despair,Pride
18,40,Happiness,Sadness
12,22,Despair,Joy
54,47,Wisdom,Strategy
28,40,Melancholy,Sadness
46,12,Sorrow,Despair
