,precision,recall,f1-score,support
Admiration,0.5833333333333334,0.4666666666666667,0.5185185185185185,15.0
Anger,0.21052631578947367,0.3333333333333333,0.25806451612903225,12.0
Appreciation,0.5,1.0,0.6666666666666666,1.0
Calmness,0.5,0.5,0.5,2.0
Caution,0.14285714285714285,0.25,0.18181818181818182,4.0
Commitment,1.0,0.3333333333333333,0.5,3.0
Compassion,0.3333333333333333,0.6666666666666666,0.4444444444444444,3.0
Complaint,0.4117647058823529,0.7777777777777778,0.5384615384615384,9.0
Confidence,0.1111111111111111,0.125,0.11764705882352941,8.0
Contentment,0.4,0.4,0.4,5.0
Courage,0.16666666666666666,0.2857142857142857,0.21052631578947367,7.0
Decorum,1.0,0.5,0.6666666666666666,2.0
Despair,0.0,0.0,0.0,21.0
Devotion,0.3333333333333333,0.2903225806451613,0.3103448275862069,31.0
Disgust,0.0,0.0,0.0,1.0
Duty,0.3333333333333333,0.45454545454545453,0.38461538461538464,11.0
Fear,0.16666666666666666,0.14285714285714285,0.15384615384615385,21.0
Gratitude,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
Happiness,0.3684210526315789,0.45652173913043476,0.4077669902912621,46.0
Honesty,0.16666666666666666,0.25,0.2,4.0
Humility,0.0,0.0,0.0,3.0
Integrity,0.0,0.0,0.0,1.0
Joy,0.3333333333333333,0.32,0.32653061224489793,25.0
Justice,0.2,0.5,0.2857142857142857,2.0
Kindness,0.2,0.25,0.2222222222222222,4.0
Longing,0.13636363636363635,0.10344827586206896,0.11764705882352941,29.0
Love,0.08571428571428572,0.10714285714285714,0.09523809523809523,28.0
Loyalty,1.0,0.5,0.6666666666666666,2.0
Melancholy,0.3013698630136986,0.38596491228070173,0.3384615384615385,57.0
Mixed,0.1,0.13636363636363635,0.11538461538461539,22.0
Nature,0.030303030303030304,0.05,0.03773584905660377,20.0
Patience,0.0,0.0,0.0,2.0
Patriotism,0.13793103448275862,0.15384615384615385,0.14545454545454545,26.0
Peace,1.0,1.0,1.0,3.0
Pride,0.3333333333333333,0.2,0.25,10.0
Reflection,0.2459016393442623,0.38461538461538464,0.3,39.0
Regret,0.26666666666666666,0.21052631578947367,0.23529411764705882,19.0
Respect,0.3333333333333333,0.3076923076923077,0.32,26.0
Responsibility,0.29411764705882354,0.3333333333333333,0.3125,15.0
Sadness,0.5952380952380952,0.3588516746411483,0.44776119402985076,209.0
Secrecy,0.0,0.0,0.0,1.0
Self-Control,0.25,0.16666666666666666,0.2,6.0
Self-Improvement,0.0,0.0,0.0,1.0
Shame,0.0,0.0,0.0,3.0
Shyness,0.0,0.0,0.0,3.0
Sorrow,0.4117647058823529,0.3888888888888889,0.4,18.0
Strategy,0.09090909090909091,0.25,0.13333333333333333,4.0
Strength,0.0,0.0,0.0,2.0
Struggle,0.25,0.5,0.3333333333333333,2.0
Tenderness,0.2,0.25,0.2222222222222222,4.0
Thankfulness,0.6666666666666666,1.0,0.8,2.0
Understanding,0.5,0.5,0.5,4.0
Virtue,0.1,0.2,0.13333333333333333,5.0
Wisdom,0.2,0.15789473684210525,0.17647058823529413,19.0
accuracy,0.3006060606060606,0.3006060606060606,0.3006060606060606,0.3006060606060606
macro avg,0.2837832103070684,0.30150569366607993,0.27607452237762625,825.0
weighted avg,0.3410467120654296,0.3006060606060606,0.30800849529080043,825.0
