,precision,recall,f1-score,support
Anger,0.2222222222222222,0.10526315789473684,0.14285714285714285,19.0
Betrayal,1.0,1.0,1.0,2.0
Calmness,0.0,0.0,0.0,2.0
Care,0.0,0.0,0.0,2.0
Caution,0.2564102564102564,0.35714285714285715,0.29850746268656714,28.0
Clarity,0.0,0.0,0.0,2.0
Commitment,1.0,0.5,0.6666666666666666,2.0
Compassion,0.0,0.0,0.0,4.0
Complaint,0.5,0.25,0.3333333333333333,4.0
Confidence,0.0,0.0,0.0,8.0
Contentment,0.2,0.16666666666666666,0.18181818181818182,6.0
Courage,0.4,0.3333333333333333,0.36363636363636365,6.0
Despair,0.0,0.0,0.0,11.0
Devotion,0.0,0.0,0.0,11.0
Duty,0.3333333333333333,0.5,0.4,4.0
Fear,0.2,0.08333333333333333,0.11764705882352941,24.0
Generosity,0.6,0.5,0.5454545454545454,6.0
Gratitude,0.18181818181818182,0.25,0.21052631578947367,8.0
Happiness,0.5172413793103449,0.375,0.43478260869565216,40.0
Honesty,0.0,0.0,0.0,4.0
Hospitality,0.0,0.0,0.0,2.0
Humility,0.3333333333333333,0.25,0.2857142857142857,4.0
Integrity,0.2,0.25,0.2222222222222222,4.0
Joy,0.6666666666666666,0.5454545454545454,0.6,11.0
Kindness,0.5,0.3333333333333333,0.4,6.0
Longing,0.6,0.625,0.6122448979591837,144.0
Love,0.42592592592592593,0.38333333333333336,0.40350877192982454,60.0
Loyalty,1.0,0.5,0.6666666666666666,2.0
Melancholy,0.575,0.6216216216216216,0.5974025974025974,111.0
Mixed,0.0,0.0,0.0,15.0
Modesty,0.0,0.0,0.0,4.0
Nature,0.2,0.19047619047619047,0.1951219512195122,21.0
Patience,0.0,0.0,0.0,2.0
Patriotism,0.21052631578947367,0.17391304347826086,0.19047619047619047,23.0
Philosophy,0.18518518518518517,0.15625,0.1694915254237288,32.0
Pride,0.45454545454545453,0.35714285714285715,0.4,14.0
Respect,0.13333333333333333,0.14285714285714285,0.13793103448275862,14.0
Responsibility,0.16,0.2857142857142857,0.20512820512820512,14.0
Reverence,0.0,0.0,0.0,2.0
Sadness,0.40372670807453415,0.5963302752293578,0.48148148148148145,109.0
Security,0.0,0.0,0.0,2.0
Self-Control,0.0,0.0,0.0,4.0
Shame,0.2777777777777778,0.3125,0.29411764705882354,16.0
Skill,0.0,0.0,0.0,2.0
Sorrow,0.0,0.0,0.0,2.0
Wisdom,0.1875,0.25,0.21428571428571427,12.0
accuracy,0.4036363636363636,0.4036363636363636,0.4036363636363636,0.4036363636363636
macro avg,0.2592292624723049,0.2259709995002577,0.2341526711133185,825.0
weighted avg,0.38698843082203604,0.4036363636363636,0.38896737381423413,825.0
