,precision,recall,f1-score,support
Anger,0.3333333333333333,0.05263157894736842,0.09090909090909091,19.0
Betrayal,0.0,0.0,0.0,2.0
Calmness,0.0,0.0,0.0,2.0
Care,0.0,0.0,0.0,2.0
Caution,0.0967741935483871,0.21428571428571427,0.13333333333333333,28.0
Clarity,0.0,0.0,0.0,2.0
Commitment,0.0,0.0,0.0,2.0
Compassion,0.0,0.0,0.0,4.0
Complaint,0.0,0.0,0.0,4.0
Confidence,0.1111111111111111,0.125,0.11764705882352941,8.0
Contentment,0.0,0.0,0.0,6.0
Courage,0.3333333333333333,0.16666666666666666,0.2222222222222222,6.0
Despair,0.0,0.0,0.0,11.0
Devotion,0.0,0.0,0.0,11.0
Duty,0.0,0.0,0.0,4.0
Fear,0.0,0.0,0.0,24.0
Generosity,0.0,0.0,0.0,6.0
Gratitude,0.0,0.0,0.0,8.0
Happiness,0.42424242424242425,0.35,0.3835616438356164,40.0
Honesty,0.0,0.0,0.0,4.0
Hospitality,0.0,0.0,0.0,2.0
Humility,0.25,0.25,0.25,4.0
Integrity,0.0,0.0,0.0,4.0
Joy,0.15384615384615385,0.18181818181818182,0.16666666666666666,11.0
Kindness,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
Longing,0.5285714285714286,0.7708333333333334,0.6271186440677966,144.0
Love,0.25675675675675674,0.31666666666666665,0.2835820895522388,60.0
Loyalty,0.0,0.0,0.0,2.0
Melancholy,0.6941176470588235,0.5315315315315315,0.6020408163265306,111.0
Mixed,0.0,0.0,0.0,15.0
Modesty,0.0,0.0,0.0,4.0
Nature,0.2,0.047619047619047616,0.07692307692307693,21.0
Patience,0.0,0.0,0.0,2.0
Patriotism,0.25,0.08695652173913043,0.12903225806451613,23.0
Philosophy,0.26666666666666666,0.125,0.1702127659574468,32.0
Pride,0.09090909090909091,0.07142857142857142,0.08,14.0
Respect,0.0625,0.07142857142857142,0.06666666666666667,14.0
Responsibility,0.15384615384615385,0.14285714285714285,0.14814814814814814,14.0
Reverence,0.0,0.0,0.0,2.0
Sadness,0.3972602739726027,0.7981651376146789,0.5304878048780488,109.0
Security,0.0,0.0,0.0,2.0
Self-Control,0.0,0.0,0.0,4.0
Shame,0.25,0.125,0.16666666666666666,16.0
Skill,0.0,0.0,0.0,2.0
Sorrow,1.0,0.5,0.6666666666666666,2.0
Wisdom,0.25,0.16666666666666666,0.2,12.0
accuracy,0.3878787878787879,0.3878787878787879,0.3878787878787879,0.3878787878787879
macro avg,0.1471725050839768,0.11799757969427403,0.12078978400331972,825.0
weighted avg,0.3384811283269366,0.3878787878787879,0.3407328915754129,825.0
