True,Pred,True_Label,Pred_Label
37,9,Responsibility,Confidence
16,36,Generosity,Respect
8,45,Complaint,Wisdom
42,11,Shame,Courage
34,39,Philosophy,Sadness
11,4,Courage,Caution
25,28,Longing,Melancholy
39,26,Sadness,Love
33,39,Patriotism,Sadness
28,25,Melancholy,Longing
39,26,Sadness,Love
17,4,Gratitude,Caution
26,23,Love,Joy
12,25,Despair,Longing
25,26,Longing,Love
25,28,Longing,Melancholy
39,18,Sadness,Happiness
39,26,Sadness,Love
39,26,Sadness,Love
28,25,Melancholy,Longing
33,39,Patriotism,Sadness
34,39,Philosophy,Sadness
25,28,Longing,Melancholy
4,37,Caution,Responsibility
25,36,Longing,Respect
0,39,Anger,Sadness
28,25,Melancholy,Longing
7,17,Compassion,Gratitude
12,25,Despair,Longing
31,39,Nature,Sadness
31,39,Nature,Sadness
34,39,Philosophy,Sadness
39,31,Sadness,Nature
28,25,Melancholy,Longing
39,18,Sadness,Happiness
5,36,Clarity,Respect
34,18,Philosophy,Happiness
31,39,Nature,Sadness
18,39,Happiness,Sadness
17,5,Gratitude,Clarity
37,36,Responsibility,Respect
42,14,Shame,Duty
18,39,Happiness,Sadness
12,25,Despair,Longing
28,25,Melancholy,Longing
17,25,Gratitude,Longing
39,26,Sadness,Love
29,39,Mixed,Sadness
4,42,Caution,Shame
31,39,Nature,Sadness
28,25,Melancholy,Longing
37,23,Responsibility,Joy
16,36,Generosity,Respect
0,39,Anger,Sadness
25,28,Longing,Melancholy
25,28,Longing,Melancholy
26,39,Love,Sadness
31,39,Nature,Sadness
25,28,Longing,Melancholy
45,4,Wisdom,Caution
2,4,Calmness,Caution
28,25,Melancholy,Longing
42,16,Shame,Generosity
15,33,Fear,Patriotism
7,26,Compassion,Love
25,28,Longing,Melancholy
34,39,Philosophy,Sadness
15,39,Fear,Sadness
19,9,Honesty,Confidence
31,39,Nature,Sadness
18,39,Happiness,Sadness
19,25,Honesty,Longing
35,21,Pride,Humility
43,36,Skill,Respect
28,25,Melancholy,Longing
28,25,Melancholy,Longing
34,39,Philosophy,Sadness
0,39,Anger,Sadness
26,39,Love,Sadness
34,39,Philosophy,Sadness
29,0,Mixed,Anger
37,36,Responsibility,Respect
45,4,Wisdom,Caution
15,18,Fear,Happiness
26,25,Love,Longing
36,37,Respect,Responsibility
41,4,Self-Control,Caution
13,34,Devotion,Philosophy
25,26,Longing,Love
25,28,Longing,Melancholy
26,39,Love,Sadness
0,39,Anger,Sadness
44,4,Sorrow,Caution
34,39,Philosophy,Sadness
29,39,Mixed,Sadness
29,39,Mixed,Sadness
19,23,Honesty,Joy
22,9,Integrity,Confidence
9,4,Confidence,Caution
26,39,Love,Sadness
34,39,Philosophy,Sadness
15,39,Fear,Sadness
21,4,Humility,Caution
39,0,Sadness,Anger
26,39,Love,Sadness
14,45,Duty,Wisdom
10,9,Contentment,Confidence
42,25,Shame,Longing
37,25,Responsibility,Longing
20,4,Hospitality,Caution
5,23,Clarity,Joy
37,4,Responsibility,Caution
23,4,Joy,Caution
37,15,Responsibility,Fear
25,26,Longing,Love
28,25,Melancholy,Longing
31,26,Nature,Love
15,18,Fear,Happiness
24,4,Kindness,Caution
22,45,Integrity,Wisdom
