,precision,recall,f1-score,support
Admiration,0.25,0.26666666666666666,0.25806451612903225,15.0
Anger,0.0,0.0,0.0,12.0
Appreciation,0.0,0.0,0.0,1.0
Calmness,0.0,0.0,0.0,2.0
Caution,0.3333333333333333,0.25,0.2857142857142857,4.0
Commitment,0.0,0.0,0.0,3.0
Compassion,0.0,0.0,0.0,3.0
Complaint,0.3076923076923077,0.4444444444444444,0.36363636363636365,9.0
Confidence,0.0,0.0,0.0,8.0
Contentment,0.0,0.0,0.0,5.0
Courage,0.0,0.0,0.0,7.0
Decorum,0.0,0.0,0.0,2.0
Despair,0.2,0.047619047619047616,0.07692307692307693,21.0
Devotion,0.3888888888888889,0.22580645161290322,0.2857142857142857,31.0
Disgust,0.0,0.0,0.0,1.0
Duty,0.0,0.0,0.0,11.0
Fear,0.0,0.0,0.0,21.0
Gratitude,0.0,0.0,0.0,3.0
Happiness,0.27586206896551724,0.17391304347826086,0.21333333333333335,46.0
Honesty,0.0,0.0,0.0,4.0
Humility,0.0,0.0,0.0,3.0
Integrity,0.0,0.0,0.0,1.0
Joy,0.13636363636363635,0.12,0.1276595744680851,25.0
Justice,0.0,0.0,0.0,2.0
Kindness,0.0,0.0,0.0,4.0
Longing,0.0,0.0,0.0,29.0
Love,0.05263157894736842,0.03571428571428571,0.0425531914893617,28.0
Loyalty,0.0,0.0,0.0,2.0
Melancholy,0.3269230769230769,0.2982456140350877,0.3119266055045872,57.0
Mixed,0.1111111111111111,0.045454545454545456,0.06451612903225806,22.0
Nature,0.0,0.0,0.0,20.0
Patience,0.0,0.0,0.0,2.0
Patriotism,0.0,0.0,0.0,26.0
Peace,0.0,0.0,0.0,3.0
Pride,0.09090909090909091,0.1,0.09523809523809523,10.0
Reflection,0.3,0.15384615384615385,0.2033898305084746,39.0
Regret,0.25,0.3157894736842105,0.27906976744186046,19.0
Respect,0.2,0.3076923076923077,0.24242424242424243,26.0
Responsibility,0.2222222222222222,0.26666666666666666,0.24242424242424243,15.0
Sadness,0.4192708333333333,0.7703349282296651,0.5430016863406408,209.0
Secrecy,0.0,0.0,0.0,1.0
Self-Control,0.0,0.0,0.0,6.0
Self-Improvement,0.0,0.0,0.0,1.0
Shame,0.0,0.0,0.0,3.0
Shyness,0.0,0.0,0.0,3.0
Sorrow,0.10526315789473684,0.1111111111111111,0.10810810810810811,18.0
Strategy,0.0,0.0,0.0,4.0
Strength,0.0,0.0,0.0,2.0
Struggle,1.0,0.5,0.6666666666666666,2.0
Tenderness,1.0,0.25,0.4,4.0
Thankfulness,0.0,0.0,0.0,2.0
Understanding,0.0,0.0,0.0,4.0
Virtue,0.0,0.0,0.0,5.0
Wisdom,0.07142857142857142,0.05263157894736842,0.06060606060606061,19.0
accuracy,0.2884848484848485,0.2884848484848485,0.2884848484848485,0.2884848484848485
macro avg,0.11188703477802212,0.08770252442968009,0.09020314929079742,825.0
weighted avg,0.2248866883485449,0.2884848484848485,0.2373321379130245,825.0
