True,Pred,True_Label,Pred_Label
10,46,Courage,Sorrow
6,11,Compassion,Decorum
25,7,Longing,Complaint
36,22,Regret,Joy
8,37,Confidence,Respect
28,40,Melancholy,Sadness
28,40,Melancholy,Sadness
18,40,Happiness,Sadness
12,40,Despair,Sadness
32,40,Patriotism,Sadness
2,33,Appreciation,Peace
9,54,Contentment,Wisdom
28,40,Melancholy,Sadness
25,40,Longing,Sadness
29,40,Mixed,Sadness
26,18,Love,Happiness
12,40,Despair,Sadness
32,1,Patriotism,Anger
13,34,Devotion,Pride
26,40,Love,Sadness
35,29,Reflection,Mixed
28,40,Melancholy,Sadness
16,20,Fear,Humility
7,53,Complaint,Virtue
18,35,Happiness,Reflection
16,40,Fear,Sadness
24,36,Kindness,Regret
13,28,Devotion,Melancholy
25,28,Longing,Melancholy
18,30,Happiness,Nature
35,40,Reflection,Sadness
12,40,Despair,Sadness
35,40,Reflection,Sadness
40,32,Sadness,Patriotism
35,29,Reflection,Mixed
13,28,Devotion,Melancholy
32,40,Patriotism,Sadness
8,15,Confidence,Duty
40,29,Sadness,Mixed
16,40,Fear,Sadness
30,29,Nature,Mixed
26,37,Love,Respect
8,36,Confidence,Regret
30,40,Nature,Sadness
25,40,Longing,Sadness
29,16,Mixed,Fear
28,40,Melancholy,Sadness
54,0,Wisdom,Admiration
15,38,Duty,Responsibility
28,40,Melancholy,Sadness
8,54,Confidence,Wisdom
34,37,Pride,Respect
22,20,Joy,Humility
16,18,Fear,Happiness
12,40,Despair,Sadness
25,40,Longing,Sadness
46,7,Sorrow,Complaint
32,40,Patriotism,Sadness
7,37,Complaint,Respect
18,40,Happiness,Sadness
35,40,Reflection,Sadness
26,40,Love,Sadness
46,15,Sorrow,Duty
38,46,Responsibility,Sorrow
31,19,Patience,Honesty
1,40,Anger,Sadness
16,40,Fear,Sadness
40,28,Sadness,Melancholy
28,40,Melancholy,Sadness
24,38,Kindness,Responsibility
28,13,Melancholy,Devotion
40,35,Sadness,Reflection
36,26,Regret,Love
54,8,Wisdom,Confidence
18,40,Happiness,Sadness
29,40,Mixed,Sadness
54,37,Wisdom,Respect
38,20,Responsibility,Humility
25,40,Longing,Sadness
28,40,Melancholy,Sadness
40,35,Sadness,Reflection
29,40,Mixed,Sadness
16,40,Fear,Sadness
32,40,Patriotism,Sadness
30,40,Nature,Sadness
35,40,Reflection,Sadness
35,40,Reflection,Sadness
1,40,Anger,Sadness
37,15,Respect,Duty
38,4,Responsibility,Caution
18,40,Happiness,Sadness
45,46,Shyness,Sorrow
0,54,Admiration,Wisdom
53,36,Virtue,Regret
35,40,Reflection,Sadness
9,36,Contentment,Regret
30,40,Nature,Sadness
46,44,Sorrow,Shame
13,28,Devotion,Melancholy
15,38,Duty,Responsibility
35,40,Reflection,Sadness
49,37,Struggle,Respect
26,29,Love,Mixed
1,40,Anger,Sadness
12,38,Despair,Responsibility
19,15,Honesty,Duty
26,40,Love,Sadness
10,54,Courage,Wisdom
26,40,Love,Sadness
40,35,Sadness,Reflection
40,28,Sadness,Melancholy
42,20,Self-Control,Humility
1,40,Anger,Sadness
13,40,Devotion,Sadness
30,40,Nature,Sadness
42,2,Self-Control,Appreciation
14,46,Disgust,Sorrow
40,25,Sadness,Longing
10,5,Courage,Commitment
40,32,Sadness,Patriotism
13,28,Devotion,Melancholy
22,46,Joy,Sorrow
8,15,Confidence,Duty
