True,Pred,True_Label,Pred_Label
16,4,Generosity,Caution
8,26,Complaint,Love
42,36,Shame,Respect
34,39,Philosophy,Sadness
11,26,Courage,Love
25,28,Longing,Melancholy
39,0,Sadness,Anger
33,39,Patriotism,Sadness
25,28,Longing,Melancholy
26,4,Love,Caution
12,28,Despair,Melancholy
25,37,Longing,Responsibility
25,28,Longing,Melancholy
28,25,Melancholy,Longing
33,39,Patriotism,Sadness
21,37,Humility,Responsibility
34,39,Philosophy,Sadness
25,28,Longing,Melancholy
25,28,Longing,Melancholy
18,39,Happiness,Sadness
0,39,Anger,Sadness
7,4,Compassion,Caution
25,28,Longing,Melancholy
12,28,Despair,Melancholy
18,39,Happiness,Sadness
31,39,Nature,Sadness
25,28,Longing,Melancholy
31,39,Nature,Sadness
34,39,Philosophy,Sadness
28,25,Melancholy,Longing
26,4,Love,Caution
5,10,Clarity,Contentment
25,4,Longing,Caution
34,39,Philosophy,Sadness
31,39,Nature,Sadness
18,39,Happiness,Sadness
37,36,Responsibility,Respect
42,4,Shame,Caution
18,39,Happiness,Sadness
25,28,Longing,Melancholy
12,25,Despair,Longing
17,4,Gratitude,Caution
29,18,Mixed,Happiness
25,28,Longing,Melancholy
4,36,Caution,Respect
26,4,Love,Caution
31,39,Nature,Sadness
25,28,Longing,Melancholy
37,25,Responsibility,Longing
37,4,Responsibility,Caution
16,36,Generosity,Respect
0,39,Anger,Sadness
25,4,Longing,Caution
25,28,Longing,Melancholy
25,28,Longing,Melancholy
26,39,Love,Sadness
25,35,Longing,Pride
31,39,Nature,Sadness
25,28,Longing,Melancholy
26,39,Love,Sadness
45,26,Wisdom,Love
42,4,Shame,Caution
42,4,Shame,Caution
15,39,Fear,Sadness
25,28,Longing,Melancholy
25,28,Longing,Melancholy
25,28,Longing,Melancholy
34,39,Philosophy,Sadness
4,36,Caution,Respect
15,39,Fear,Sadness
19,4,Honesty,Caution
31,39,Nature,Sadness
18,39,Happiness,Sadness
19,37,Honesty,Responsibility
35,37,Pride,Responsibility
43,42,Skill,Shame
28,25,Melancholy,Longing
25,28,Longing,Melancholy
34,39,Philosophy,Sadness
0,39,Anger,Sadness
0,39,Anger,Sadness
26,39,Love,Sadness
34,39,Philosophy,Sadness
29,39,Mixed,Sadness
37,45,Responsibility,Wisdom
45,4,Wisdom,Caution
34,39,Philosophy,Sadness
15,39,Fear,Sadness
36,26,Respect,Love
41,26,Self-Control,Love
26,4,Love,Caution
13,39,Devotion,Sadness
25,26,Longing,Love
25,28,Longing,Melancholy
26,4,Love,Caution
26,39,Love,Sadness
0,39,Anger,Sadness
44,4,Sorrow,Caution
34,39,Philosophy,Sadness
29,39,Mixed,Sadness
29,39,Mixed,Sadness
25,28,Longing,Melancholy
19,36,Honesty,Respect
25,4,Longing,Caution
18,31,Happiness,Nature
9,4,Confidence,Caution
26,39,Love,Sadness
34,39,Philosophy,Sadness
15,39,Fear,Sadness
25,28,Longing,Melancholy
21,4,Humility,Caution
25,28,Longing,Melancholy
26,39,Love,Sadness
14,4,Duty,Caution
10,4,Contentment,Caution
42,35,Shame,Pride
25,28,Longing,Melancholy
37,4,Responsibility,Caution
25,28,Longing,Melancholy
20,4,Hospitality,Caution
5,41,Clarity,Self-Control
37,42,Responsibility,Shame
23,4,Joy,Caution
37,15,Responsibility,Fear
31,39,Nature,Sadness
34,39,Philosophy,Sadness
25,14,Longing,Duty
31,39,Nature,Sadness
15,39,Fear,Sadness
24,0,Kindness,Anger
22,4,Integrity,Caution
26,39,Love,Sadness
26,4,Love,Caution
36,5,Respect,Clarity
4,37,Caution,Responsibility
35,4,Pride,Caution
25,28,Longing,Melancholy
37,4,Responsibility,Caution
15,26,Fear,Love
33,18,Patriotism,Happiness
13,28,Devotion,Melancholy
4,42,Caution,Shame
0,39,Anger,Sadness
34,39,Philosophy,Sadness
34,15,Philosophy,Fear
33,39,Patriotism,Sadness
44,35,Sorrow,Pride
23,26,Joy,Love
25,28,Longing,Melancholy
28,25,Melancholy,Longing
1,4,Betrayal,Caution
25,28,Longing,Melancholy
35,37,Pride,Responsibility
30,4,Modesty,Caution
31,39,Nature,Sadness
45,4,Wisdom,Caution
25,28,Longing,Melancholy
15,39,Fear,Sadness
35,36,Pride,Respect
18,39,Happiness,Sadness
18,39,Happiness,Sadness
25,28,Longing,Melancholy
36,16,Respect,Generosity
25,37,Longing,Responsibility
18,39,Happiness,Sadness
18,39,Happiness,Sadness
15,39,Fear,Sadness
17,4,Gratitude,Caution
26,39,Love,Sadness
25,28,Longing,Melancholy
18,39,Happiness,Sadness
8,4,Complaint,Caution
0,39,Anger,Sadness
26,39,Love,Sadness
16,25,Generosity,Longing
9,4,Confidence,Caution
37,17,Responsibility,Gratitude
13,39,Devotion,Sadness
0,39,Anger,Sadness
25,28,Longing,Melancholy
25,28,Longing,Melancholy
25,28,Longing,Melancholy
43,4,Skill,Caution
29,39,Mixed,Sadness
25,35,Longing,Pride
13,39,Devotion,Sadness
26,25,Love,Longing
25,28,Longing,Melancholy
25,28,Longing,Melancholy
29,39,Mixed,Sadness
13,39,Devotion,Sadness
25,28,Longing,Melancholy
25,28,Longing,Melancholy
25,28,Longing,Melancholy
25,28,Longing,Melancholy
33,18,Patriotism,Happiness
13,39,Devotion,Sadness
26,39,Love,Sadness
25,4,Longing,Caution
18,39,Happiness,Sadness
25,42,Longing,Shame
37,4,Responsibility,Caution
25,28,Longing,Melancholy
25,4,Longing,Caution
33,39,Patriotism,Sadness
42,23,Shame,Joy
36,38,Respect,Reverence
2,44,Calmness,Sorrow
25,28,Longing,Melancholy
32,4,Patience,Caution
26,4,Love,Caution
11,37,Courage,Responsibility
34,39,Philosophy,Sadness
25,26,Longing,Love
15,37,Fear,Responsibility
26,22,Love,Integrity
41,35,Self-Control,Pride
41,37,Self-Control,Responsibility
31,39,Nature,Sadness
45,21,Wisdom,Humility
26,4,Love,Caution
15,39,Fear,Sadness
10,37,Contentment,Responsibility
18,39,Happiness,Sadness
18,15,Happiness,Fear
0,39,Anger,Sadness
26,39,Love,Sadness
26,4,Love,Caution
31,39,Nature,Sadness
25,28,Longing,Melancholy
26,39,Love,Sadness
25,28,Longing,Melancholy
26,39,Love,Sadness
10,25,Contentment,Longing
25,28,Longing,Melancholy
35,40,Pride,Security
34,39,Philosophy,Sadness
19,8,Honesty,Complaint
25,28,Longing,Melancholy
25,4,Longing,Caution
7,45,Compassion,Wisdom
33,39,Patriotism,Sadness
38,23,Reverence,Joy
4,37,Caution,Responsibility
26,39,Love,Sadness
25,4,Longing,Caution
33,39,Patriotism,Sadness
25,28,Longing,Melancholy
29,18,Mixed,Happiness
30,35,Modesty,Pride
13,0,Devotion,Anger
34,39,Philosophy,Sadness
34,39,Philosophy,Sadness
33,39,Patriotism,Sadness
25,28,Longing,Melancholy
8,37,Complaint,Responsibility
3,45,Care,Wisdom
25,28,Longing,Melancholy
26,4,Love,Caution
26,4,Love,Caution
35,4,Pride,Caution
36,17,Respect,Gratitude
33,39,Patriotism,Sadness
0,39,Anger,Sadness
9,35,Confidence,Pride
15,45,Fear,Wisdom
31,39,Nature,Sadness
18,39,Happiness,Sadness
25,28,Longing,Melancholy
33,39,Patriotism,Sadness
15,4,Fear,Caution
3,26,Care,Love
25,28,Longing,Melancholy
25,28,Longing,Melancholy
29,39,Mixed,Sadness
25,4,Longing,Caution
24,26,Kindness,Love
25,28,Longing,Melancholy
25,28,Longing,Melancholy
34,39,Philosophy,Sadness
24,4,Kindness,Caution
34,39,Philosophy,Sadness
9,26,Confidence,Love
33,39,Patriotism,Sadness
33,39,Patriotism,Sadness
0,39,Anger,Sadness
29,39,Mixed,Sadness
29,39,Mixed,Sadness
42,2,Shame,Calmness
27,7,Loyalty,Compassion
26,36,Love,Respect
25,28,Longing,Melancholy
4,45,Caution,Wisdom
42,32,Shame,Patience
36,4,Respect,Caution
25,28,Longing,Melancholy
25,28,Longing,Melancholy
26,39,Love,Sadness
31,39,Nature,Sadness
12,28,Despair,Melancholy
25,35,Longing,Pride
4,9,Caution,Confidence
25,28,Longing,Melancholy
7,4,Compassion,Caution
25,28,Longing,Melancholy
25,28,Longing,Melancholy
25,28,Longing,Melancholy
29,39,Mixed,Sadness
26,4,Love,Caution
31,39,Nature,Sadness
25,28,Longing,Melancholy
21,23,Humility,Joy
34,39,Philosophy,Sadness
30,4,Modesty,Caution
25,36,Longing,Respect
34,39,Philosophy,Sadness
18,39,Happiness,Sadness
33,39,Patriotism,Sadness
18,39,Happiness,Sadness
12,28,Despair,Melancholy
34,39,Philosophy,Sadness
18,39,Happiness,Sadness
25,44,Longing,Sorrow
17,4,Gratitude,Caution
36,45,Respect,Wisdom
31,39,Nature,Sadness
35,9,Pride,Confidence
26,25,Love,Longing
25,37,Longing,Responsibility
34,39,Philosophy,Sadness
45,40,Wisdom,Security
25,28,Longing,Melancholy
9,36,Confidence,Respect
4,17,Caution,Gratitude
25,28,Longing,Melancholy
25,28,Longing,Melancholy
26,4,Love,Caution
34,39,Philosophy,Sadness
11,35,Courage,Pride
15,39,Fear,Sadness
0,39,Anger,Sadness
26,39,Love,Sadness
36,4,Respect,Caution
25,35,Longing,Pride
18,39,Happiness,Sadness
25,28,Longing,Melancholy
25,28,Longing,Melancholy
34,39,Philosophy,Sadness
15,39,Fear,Sadness
18,39,Happiness,Sadness
34,39,Philosophy,Sadness
13,39,Devotion,Sadness
1,4,Betrayal,Caution
26,39,Love,Sadness
36,4,Respect,Caution
13,39,Devotion,Sadness
35,4,Pride,Caution
26,39,Love,Sadness
8,25,Complaint,Longing
0,39,Anger,Sadness
18,39,Happiness,Sadness
25,28,Longing,Melancholy
17,37,Gratitude,Responsibility
31,39,Nature,Sadness
18,39,Happiness,Sadness
25,28,Longing,Melancholy
31,39,Nature,Sadness
29,39,Mixed,Sadness
18,39,Happiness,Sadness
31,39,Nature,Sadness
31,39,Nature,Sadness
27,4,Loyalty,Caution
15,39,Fear,Sadness
35,4,Pride,Caution
18,39,Happiness,Sadness
25,28,Longing,Melancholy
18,31,Happiness,Nature
12,28,Despair,Melancholy
26,39,Love,Sadness
25,28,Longing,Melancholy
18,39,Happiness,Sadness
0,26,Anger,Love
25,28,Longing,Melancholy
12,28,Despair,Melancholy
41,4,Self-Control,Caution
25,28,Longing,Melancholy
33,39,Patriotism,Sadness
26,39,Love,Sadness
26,42,Love,Shame
34,39,Philosophy,Sadness
25,28,Longing,Melancholy
4,45,Caution,Wisdom
40,35,Security,Pride
26,39,Love,Sadness
45,4,Wisdom,Caution
33,39,Patriotism,Sadness
18,39,Happiness,Sadness
34,39,Philosophy,Sadness
12,28,Despair,Melancholy
45,26,Wisdom,Love
26,39,Love,Sadness
31,39,Nature,Sadness
36,35,Respect,Pride
36,4,Respect,Caution
9,35,Confidence,Pride
25,28,Longing,Melancholy
33,31,Patriotism,Nature
29,39,Mixed,Sadness
15,39,Fear,Sadness
15,39,Fear,Sadness
18,39,Happiness,Sadness
35,36,Pride,Respect
25,28,Longing,Melancholy
4,26,Caution,Love
6,16,Commitment,Generosity
25,28,Longing,Melancholy
15,42,Fear,Shame
25,28,Longing,Melancholy
0,39,Anger,Sadness
29,39,Mixed,Sadness
34,39,Philosophy,Sadness
11,37,Courage,Responsibility
33,39,Patriotism,Sadness
26,45,Love,Wisdom
25,28,Longing,Melancholy
13,28,Devotion,Melancholy
26,39,Love,Sadness
18,39,Happiness,Sadness
9,37,Confidence,Responsibility
18,39,Happiness,Sadness
33,39,Patriotism,Sadness
25,26,Longing,Love
26,34,Love,Philosophy
25,28,Longing,Melancholy
37,4,Responsibility,Caution
16,35,Generosity,Pride
25,26,Longing,Love
6,11,Commitment,Courage
25,28,Longing,Melancholy
18,39,Happiness,Sadness
25,28,Longing,Melancholy
25,28,Longing,Melancholy
18,39,Happiness,Sadness
25,28,Longing,Melancholy
25,28,Longing,Melancholy
35,42,Pride,Shame
4,24,Caution,Kindness
28,25,Melancholy,Longing
33,39,Patriotism,Sadness
25,26,Longing,Love
16,4,Generosity,Caution
26,8,Love,Complaint
25,28,Longing,Melancholy
36,4,Respect,Caution
12,28,Despair,Melancholy
25,28,Longing,Melancholy
31,39,Nature,Sadness
10,4,Contentment,Caution
26,39,Love,Sadness
25,28,Longing,Melancholy
