True,Pred,True_Label,Pred_Label
10,37,Courage,Respect
6,26,Compassion,Love
25,37,Longing,Respect
36,22,Regret,Joy
8,26,Confidence,Love
28,40,Melancholy,Sadness
28,40,Melancholy,Sadness
18,40,Happiness,Sadness
12,40,Despair,Sadness
28,40,Melancholy,Sadness
32,40,Patriotism,Sadness
18,40,Happiness,Sadness
2,37,Appreciation,Respect
9,37,Contentment,Respect
28,40,Melancholy,Sadness
7,37,Complaint,Respect
25,40,Longing,Sadness
29,40,Mixed,Sadness
26,40,Love,Sadness
12,40,Despair,Sadness
32,40,Patriotism,Sadness
13,37,Devotion,Respect
26,40,Love,Sadness
35,40,Reflection,Sadness
28,40,Melancholy,Sadness
28,40,Melancholy,Sadness
16,37,Fear,Respect
7,46,Complaint,Sorrow
18,40,Happiness,Sadness
16,40,Fear,Sadness
24,37,Kindness,Respect
13,40,Devotion,Sadness
25,40,Longing,Sadness
18,40,Happiness,Sadness
35,40,Reflection,Sadness
12,40,Despair,Sadness
35,40,Reflection,Sadness
35,40,Reflection,Sadness
13,40,Devotion,Sadness
37,40,Respect,Sadness
32,40,Patriotism,Sadness
8,46,Confidence,Sorrow
7,37,Complaint,Respect
16,40,Fear,Sadness
30,40,Nature,Sadness
26,37,Love,Respect
8,40,Confidence,Sadness
30,40,Nature,Sadness
28,40,Melancholy,Sadness
28,40,Melancholy,Sadness
25,40,Longing,Sadness
37,40,Respect,Sadness
29,40,Mixed,Sadness
28,40,Melancholy,Sadness
54,40,Wisdom,Sadness
15,37,Duty,Respect
28,40,Melancholy,Sadness
8,40,Confidence,Sadness
34,37,Pride,Respect
16,40,Fear,Sadness
28,40,Melancholy,Sadness
46,40,Sorrow,Sadness
12,40,Despair,Sadness
25,40,Longing,Sadness
46,40,Sorrow,Sadness
32,40,Patriotism,Sadness
7,26,Complaint,Love
18,40,Happiness,Sadness
35,40,Reflection,Sadness
26,40,Love,Sadness
18,40,Happiness,Sadness
38,40,Responsibility,Sadness
31,40,Patience,Sadness
36,40,Regret,Sadness
36,40,Regret,Sadness
1,40,Anger,Sadness
16,40,Fear,Sadness
28,40,Melancholy,Sadness
24,37,Kindness,Respect
28,40,Melancholy,Sadness
36,37,Regret,Respect
54,37,Wisdom,Respect
18,40,Happiness,Sadness
29,40,Mixed,Sadness
54,37,Wisdom,Respect
37,40,Respect,Sadness
38,37,Responsibility,Respect
25,40,Longing,Sadness
28,40,Melancholy,Sadness
29,40,Mixed,Sadness
16,40,Fear,Sadness
32,40,Patriotism,Sadness
30,40,Nature,Sadness
35,40,Reflection,Sadness
35,40,Reflection,Sadness
1,40,Anger,Sadness
37,40,Respect,Sadness
38,40,Responsibility,Sadness
18,40,Happiness,Sadness
45,46,Shyness,Sorrow
0,37,Admiration,Respect
53,40,Virtue,Sadness
35,40,Reflection,Sadness
9,37,Contentment,Respect
30,40,Nature,Sadness
46,22,Sorrow,Joy
13,40,Devotion,Sadness
15,26,Duty,Love
35,40,Reflection,Sadness
49,37,Struggle,Respect
26,40,Love,Sadness
1,40,Anger,Sadness
35,40,Reflection,Sadness
28,40,Melancholy,Sadness
54,26,Wisdom,Love
12,46,Despair,Sorrow
19,40,Honesty,Sadness
26,40,Love,Sadness
10,37,Courage,Respect
26,40,Love,Sadness
0,40,Admiration,Sadness
42,37,Self-Control,Respect
1,40,Anger,Sadness
13,40,Devotion,Sadness
30,40,Nature,Sadness
38,40,Responsibility,Sadness
42,40,Self-Control,Sadness
14,40,Disgust,Sadness
10,37,Courage,Respect
13,40,Devotion,Sadness
38,26,Responsibility,Love
34,37,Pride,Respect
8,40,Confidence,Sadness
34,40,Pride,Sadness
9,37,Contentment,Respect
34,40,Pride,Sadness
35,40,Reflection,Sadness
30,40,Nature,Sadness
7,37,Complaint,Respect
18,40,Happiness,Sadness
29,40,Mixed,Sadness
19,37,Honesty,Respect
13,40,Devotion,Sadness
16,37,Fear,Respect
27,26,Loyalty,Love
0,37,Admiration,Respect
54,37,Wisdom,Respect
25,40,Longing,Sadness
35,40,Reflection,Sadness
32,40,Patriotism,Sadness
25,40,Longing,Sadness
54,40,Wisdom,Sadness
16,40,Fear,Sadness
32,40,Patriotism,Sadness
12,40,Despair,Sadness
49,37,Struggle,Respect
26,37,Love,Respect
22,26,Joy,Love
22,40,Joy,Sadness
12,40,Despair,Sadness
1,40,Anger,Sadness
12,40,Despair,Sadness
22,40,Joy,Sadness
20,37,Humility,Respect
38,37,Responsibility,Respect
