True,Pred,True_Label,Pred_Label
40,25,Sadness,Longing
25,0,Longing,Admiration
36,9,Regret,Contentment
40,29,Sadness,Mixed
8,10,Confidence,Courage
40,32,Sadness,Patriotism
18,35,Happiness,Reflection
12,25,Despair,Longing
9,24,Contentment,Kindness
28,25,Melancholy,Longing
40,28,Sadness,Melancholy
40,30,Sadness,Nature
40,28,Sadness,Melancholy
25,28,Longing,Melancholy
40,18,Sadness,Happiness
29,32,Mixed,Patriotism
26,29,Love,Mixed
12,28,Despair,Melancholy
13,54,Devotion,Wisdom
26,1,Love,Anger
16,15,Fear,Duty
7,53,Complaint,Virtue
40,25,Sadness,Longing
40,28,Sadness,Melancholy
24,15,Kindness,Duty
13,28,Devotion,Melancholy
25,28,Longing,Melancholy
12,28,Despair,Melancholy
35,32,Reflection,Patriotism
40,32,Sadness,Patriotism
35,18,Reflection,Happiness
13,28,Devotion,Melancholy
40,28,Sadness,Melancholy
40,35,Sadness,Reflection
37,0,Respect,Admiration
32,16,Patriotism,Fear
8,42,Confidence,Self-Control
40,29,Sadness,Mixed
16,18,Fear,Happiness
30,29,Nature,Mixed
40,30,Sadness,Nature
40,32,Sadness,Patriotism
40,28,Sadness,Melancholy
26,51,Love,Thankfulness
8,23,Confidence,Justice
36,23,Regret,Justice
28,25,Melancholy,Longing
25,28,Longing,Melancholy
37,7,Respect,Complaint
40,30,Sadness,Nature
29,18,Mixed,Happiness
40,35,Sadness,Reflection
54,24,Wisdom,Kindness
40,18,Sadness,Happiness
28,25,Melancholy,Longing
8,10,Confidence,Courage
40,28,Sadness,Melancholy
22,4,Joy,Caution
16,35,Fear,Reflection
40,30,Sadness,Nature
40,35,Sadness,Reflection
12,28,Despair,Melancholy
40,28,Sadness,Melancholy
46,7,Sorrow,Complaint
18,29,Happiness,Mixed
35,32,Reflection,Patriotism
26,29,Love,Mixed
40,28,Sadness,Melancholy
38,34,Responsibility,Pride
31,19,Patience,Honesty
40,25,Sadness,Longing
1,35,Anger,Reflection
16,30,Fear,Nature
40,28,Sadness,Melancholy
28,25,Melancholy,Longing
40,28,Sadness,Melancholy
40,35,Sadness,Reflection
40,16,Sadness,Fear
54,8,Wisdom,Confidence
18,35,Happiness,Reflection
29,18,Mixed,Happiness
54,4,Wisdom,Caution
37,8,Respect,Confidence
38,21,Responsibility,Integrity
40,28,Sadness,Melancholy
25,28,Longing,Melancholy
40,35,Sadness,Reflection
28,25,Melancholy,Longing
40,30,Sadness,Nature
29,35,Mixed,Reflection
16,29,Fear,Mixed
32,18,Patriotism,Happiness
35,29,Reflection,Mixed
35,18,Reflection,Happiness
1,35,Anger,Reflection
40,28,Sadness,Melancholy
37,38,Respect,Responsibility
38,4,Responsibility,Caution
